product_sku,store_code,gross_price,currency,price_type,valid_from,valid_to,source_system,load_timestamp,batch_id
SKU-948580,SHOP,117.84,ZAR,Promo,2024-02-05 17:02:12,2024-02-12 17:02:12,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-948580,C60,124.91,ZAR,Regular,2025-04-05 01:59:39,2025-05-05 01:59:39,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-854835,USV,34.08,ZAR,Regular,2024-10-09 15:11:31,2024-11-09 15:11:31,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-854835,USV,36.13,ZAR,,2025-08-13 19:45:52,2025-09-13 19:45:52,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-743575,SHOP,54.1,ZAR,Regular,2024-12-06 18:13:45,2025-01-06 18:13:45,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-743575,SHOP,57.35,ZAR,Regular,2025-08-03 13:58:30,2025-09-03 13:58:30,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-863971,C60,103.5,ZAR,Promo,2024-09-15 12:08:01,2024-09-22 12:08:01,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-863971,CHK,109.71,ZAR,Promo,2025-05-17 10:06:41,2025-05-24 10:06:41,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-888950,CHK,17.89,ZAR,Promo,2024-06-25 14:14:35,2024-07-02 14:14:35,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-888950,SHOP,18.96,ZAR,Regular,2025-10-10 13:07:21,2025-11-10 13:07:21,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-737999,SHOP,92.97,ZAR,Regular,2024-05-22 01:58:00,2024-06-22 01:58:00,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-737999,SHOP,98.55,ZAR,Promo,2025-10-20 17:50:22,2025-10-27 17:50:22,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-474971,SHOP,34.22,ZAR,Regular,2024-08-10 15:51:18,2024-09-10 15:51:18,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-474971,C60,36.27,ZAR,Regular,2025-06-27 11:27:36,2025-07-27 11:27:36,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-558929,CHK,16.97,ZAR,Promo,2024-06-08 13:09:51,2024-06-15 13:09:51,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-558929,SHOP,17.99,ZAR,Regular,2025-10-17 06:04:45,2025-11-17 06:04:45,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-912465,CHK,76.55,ZAR,Regular,2024-12-13 00:19:38,2025-01-13 00:19:38,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-912465,C60,81.14,ZAR,Promo,2025-02-22 02:55:57,2025-03-01 02:55:57,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-588262,SHOP,18.64,ZAR,,2024-05-10 13:41:47,2024-05-17 13:41:47,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-588262,CHK,19.76,ZAR,Promo,2025-04-04 23:11:46,2025-04-11 23:11:46,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-135879,SHOP,110.14,ZAR,Promo,2024-10-12 21:06:05,2024-10-19 21:06:05,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-135879,USV,116.75,ZAR,Regular,2025-05-06 05:24:24,2025-06-06 05:24:24,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-162269,C60,28.91,ZAR,,2024-01-17 15:38:57,2024-02-17 15:38:57,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-162269,C60,30.65,ZAR,Regular,2025-01-25 23:04:11,2025-02-25 23:04:11,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-678923,C60,21.39,ZAR,Regular,2024-09-03 08:32:53,2024-10-03 08:32:53,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-678923,C60,22.67,ZAR,Regular,2025-09-09 22:47:55,2025-10-09 22:47:55,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-885626,C60,24.74,ZAR,Promo,2024-09-24 04:42:59,2024-10-01 04:42:59,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-885626,SHOP,26.23,ZAR,Regular,2025-09-15 02:31:28,2025-10-15 02:31:28,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-257254,C60,20.87,ZAR,Promo,2024-12-28 00:38:58,2025-01-04 00:38:58,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-257254,CHK,22.12,ZAR,,2025-03-28 04:23:57,2025-04-04 04:23:57,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-364885,USV,88.47,ZAR,Regular,2024-07-22 09:17:12,2024-08-22 09:17:12,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-364885,CHK,93.78,ZAR,Regular,2025-07-25 01:31:46,2025-08-25 01:31:46,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-256162,C60,24.6,ZAR,Promo,2024-11-03 09:46:34,2024-11-10 09:46:34,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-256162,C60,26.08,ZAR,Promo,2025-02-09 02:26:20,2025-02-16 02:26:20,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-432742,USV,46.16,ZAR,Regular,2024-03-20 14:57:33,2024-04-20 14:57:33,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-432742,CHK,48.93,ZAR,Promo,2025-09-23 12:23:08,2025-09-30 12:23:08,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-239400,SHOP,85.42,ZAR,Promo,2024-04-03 02:34:14,2024-04-10 02:34:14,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-239400,USV,90.55,ZAR,Regular,2025-02-10 17:38:24,2025-03-10 17:38:24,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-297690,CHK,56.56,ZAR,Promo,2024-01-11 15:18:31,2024-01-18 15:18:31,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-297690,SHOP,59.95,ZAR,Promo,2025-07-03 17:09:09,2025-07-10 17:09:09,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-712265,SHOP,34.52,ZAR,Regular,2024-09-21 07:15:05,2024-10-21 07:15:05,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-712265,C60,36.59,ZAR,Promo,2025-05-09 08:48:49,2025-05-16 08:48:49,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-830746,SHOP,94.63,ZAR,Regular,2024-03-13 21:32:56,2024-04-13 21:32:56,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-830746,C60,100.31,ZAR,Promo,2025-03-11 12:13:10,2025-03-18 12:13:10,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-733988,CHK,17.26,ZAR,Regular,2024-07-09 13:33:03,2024-08-09 13:33:03,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-733988,CHK,18.3,ZAR,Regular,2025-11-10 02:15:52,2025-12-10 02:15:52,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-455538,CHK,18.2,ZAR,Regular,2024-01-15 16:34:55,2024-02-15 16:34:55,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-455538,USV,19.29,ZAR,Promo,2025-06-13 12:48:58,2025-06-20 12:48:58,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-709850,CHK,16.28,ZAR,Regular,2024-11-17 16:01:30,2024-12-17 16:01:30,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-709850,SHOP,17.26,ZAR,Regular,2025-04-27 18:25:34,2025-05-27 18:25:34,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-412497,USV,35.83,ZAR,Promo,2024-08-22 03:13:23,2024-08-29 03:13:23,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-412497,CHK,37.98,ZAR,Regular,2025-12-18 06:46:14,2026-01-18 06:46:14,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-529926,USV,16.38,ZAR,,2024-08-17 04:46:50,2024-09-17 04:46:50,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-529926,C60,17.36,,Promo,2025-01-15 07:18:49,2025-01-22 07:18:49,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-984558,SHOP,44.33,ZAR,Promo,2024-04-09 08:46:38,2024-04-16 08:46:38,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-984558,CHK,46.99,ZAR,,2025-09-26 02:58:55,2025-10-26 02:58:55,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-623531,CHK,27.37,ZAR,Regular,2024-04-20 07:27:08,2024-05-20 07:27:08,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-623531,SHOP,29.01,ZAR,Regular,2025-12-20 17:59:30,2026-01-20 17:59:30,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-854211,USV,136.91,ZAR,Regular,2024-11-20 19:52:10,2024-12-20 19:52:10,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-854211,USV,136.91,ZAR,Regular,2024-11-20 19:52:10,2024-12-20 19:52:10,Shoprite X,2026-02-24 04:09:54,BATCH-20260224-01
SKU-854211,C60,145.13,ZAR,Promo,2025-09-12 02:21:12,2025-09-19 02:21:12,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-160964,C60,77.52,ZAR,Promo,2024-08-19 18:49:44,2024-08-26 18:49:44,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-160964,C60,82.17,ZAR,Promo,2025-11-08 12:26:19,2025-11-15 12:26:19,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-681443,USV,29.07,,Regular,2024-02-08 11:38:30,2024-03-08 11:38:30,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-681443,CHK,30.81,ZAR,Promo,2025-01-27 03:52:05,2025-02-03 03:52:05,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-173774,C60,138.39,ZAR,Regular,2024-04-23 04:36:45,2024-05-23 04:36:45,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-173774,CHK,146.69,,Promo,2025-06-18 22:49:51,2025-06-25 22:49:51,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-488952,USV,22.06,ZAR,Regular,2024-09-13 11:39:48,2024-10-13 11:39:48,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-488952,USV,23.38,ZAR,Promo,2025-02-12 03:35:07,2025-02-19 03:35:07,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-522882,USV,35.81,ZAR,Promo,2024-05-08 16:33:49,2024-05-15 16:33:49,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-522882,USV,37.96,ZAR,Promo,2025-08-14 19:16:19,2025-08-21 19:16:19,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-102031,CHK,34.29,ZAR,Regular,2024-06-15 04:50:40,2024-07-15 04:50:40,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-102031,CHK,36.35,ZAR,Regular,2025-07-20 05:47:19,2025-08-20 05:47:19,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-913856,C60,14.14,ZAR,Promo,2024-02-21 08:21:11,2024-02-28 08:21:11,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-913856,USV,14.99,ZAR,Promo,2025-05-09 07:34:22,2025-05-16 07:34:22,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-244367,CHK,84.28,ZAR,Regular,2024-01-09 21:49:19,2024-02-09 21:49:19,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-244367,C60,89.34,ZAR,Regular,2025-08-06 19:11:27,2025-09-06 19:11:27,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-670414,CHK,27.45,ZAR,Promo,2024-11-22 07:35:14,2024-11-29 07:35:14,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-670414,CHK,29.1,ZAR,Regular,2025-02-24 01:40:42,2025-03-24 01:40:42,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-427312,USV,24.94,ZAR,Promo,2024-07-18 03:02:20,2024-07-25 03:02:20,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-427312,CHK,26.44,ZAR,Promo,2025-08-20 20:45:23,2025-08-27 20:45:23,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-986709,USV,20.13,ZAR,Promo,2024-08-11 09:41:51,2024-08-18 09:41:51,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-986709,C60,21.34,ZAR,Promo,2025-08-27 21:18:01,2025-09-03 21:18:01,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-714696,SHOP,18.56,ZAR,Promo,2024-12-03 09:46:49,2024-12-10 09:46:49,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-714696,CHK,19.67,ZAR,Promo,2025-08-19 13:16:43,2025-08-26 13:16:43,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-114718,C60,110.28,ZAR,Promo,2024-12-17 08:56:07,2024-12-24 08:56:07,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-114718,USV,116.9,ZAR,Regular,2025-05-22 12:30:39,2025-06-22 12:30:39,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-110057,USV,16.24,ZAR,Regular,2024-07-17 02:55:58,2024-08-17 02:55:58,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-110057,C60,17.21,ZAR,Regular,2025-10-02 07:37:49,2025-11-02 07:37:49,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-198223,USV,32.79,ZAR,Promo,2024-08-27 13:48:20,2024-09-03 13:48:20,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-198223,USV,34.76,ZAR,Regular,2025-10-02 04:59:00,2025-11-02 04:59:00,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-789933,CHK,86.22,ZAR,Promo,2024-04-26 23:49:19,2024-05-03 23:49:19,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-789933,SHOP,91.39,ZAR,Regular,2025-07-17 08:38:11,2025-08-17 08:38:11,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-817276,CHK,98.54,ZAR,,2024-11-25 01:08:57,2024-12-02 01:08:57,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-817276,USV,104.45,ZAR,Promo,2025-05-25 16:44:04,2025-06-01 16:44:04,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-131548,C60,23.86,ZAR,Promo,2024-03-11 10:36:27,2024-03-18 10:36:27,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-131548,SHOP,25.29,ZAR,Promo,2025-05-10 15:02:19,2025-05-17 15:02:19,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-276050,USV,29.79,ZAR,Promo,2024-03-13 02:40:53,2024-03-20 02:40:53,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-276050,C60,31.58,ZAR,Regular,2025-04-26 16:51:51,2025-05-26 16:51:51,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-490454,SHOP,73.45,ZAR,Promo,2024-12-22 14:35:04,2024-12-29 14:35:04,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-490454,C60,77.86,ZAR,Promo,2025-01-08 02:35:08,2025-01-15 02:35:08,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-897034,C60,53.98,ZAR,Promo,2024-07-19 15:26:56,2024-07-26 15:26:56,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-897034,SHOP,57.22,ZAR,Regular,2025-06-16 23:04:14,2025-07-16 23:04:14,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-987178,C60,23.74,ZAR,Promo,2024-02-24 17:30:51,2024-03-02 17:30:51,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-987178,CHK,25.16,ZAR,Promo,2025-09-18 19:16:46,2025-09-25 19:16:46,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-131253,SHOP,31.28,,Promo,2024-09-11 14:19:46,2024-09-18 14:19:46,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-131253,CHK,33.16,ZAR,Regular,2025-11-26 07:55:32,2025-12-26 07:55:32,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-209839,C60,46.99,ZAR,Regular,2024-01-27 00:32:30,2024-02-27 00:32:30,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-209839,USV,49.81,ZAR,,2025-11-22 11:17:09,2025-12-22 11:17:09,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-963441,CHK,23.49,ZAR,Promo,2024-08-19 14:37:54,2024-08-26 14:37:54,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-963441,USV,24.9,ZAR,Regular,2025-06-06 12:34:38,2025-07-06 12:34:38,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-237613,C60,32.02,ZAR,Regular,2024-04-11 07:46:24,2024-05-11 07:46:24,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-237613,CHK,33.94,,Regular,2025-09-09 07:27:33,2025-10-09 07:27:33,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-766048,CHK,100.72,ZAR,Regular,2024-07-22 17:07:02,2024-08-22 17:07:02,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-766048,USV,106.76,ZAR,Promo,2025-11-13 14:38:33,2025-11-20 14:38:33,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-943176,USV,29.02,ZAR,Promo,2024-07-21 04:25:04,2024-07-28 04:25:04,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-943176,CHK,30.76,ZAR,Promo,2025-06-26 12:04:02,2025-07-03 12:04:02,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-821470,C60,37.55,ZAR,Promo,2024-08-06 22:09:57,2024-08-13 22:09:57,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-821470,SHOP,39.8,ZAR,Regular,2025-05-01 02:48:01,2025-06-01 02:48:01,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-377447,CHK,20.57,,Promo,2024-06-19 12:50:37,2024-06-26 12:50:37,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-377447,C60,21.8,ZAR,Regular,2025-08-18 16:55:10,2025-09-18 16:55:10,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-780463,USV,31.81,ZAR,Regular,2024-11-20 04:10:22,2024-12-20 04:10:22,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-780463,C60,33.72,ZAR,Promo,2025-01-10 23:03:23,2025-01-17 23:03:23,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-338922,CHK,13.45,ZAR,Promo,2024-11-15 15:45:01,2024-11-22 15:45:01,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-338922,CHK,13.45,ZAR,Promo,2024-11-15 15:45:01,2024-11-22 15:45:01,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-338922,SHOP,14.26,ZAR,Regular,2025-08-25 03:29:19,2025-09-25 03:29:19,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-497591,USV,93.31,ZAR,Regular,2024-06-17 18:25:19,2024-07-17 18:25:19,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-497591,USV,98.91,ZAR,Regular,2025-03-09 16:19:49,2025-04-09 16:19:49,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-811790,SHOP,19.68,ZAR,Promo,2024-08-11 16:23:19,2024-08-18 16:23:19,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-811790,SHOP,20.86,ZAR,Promo,2025-01-01 01:37:01,2025-01-08 01:37:01,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-521159,C60,81.87,ZAR,Regular,2024-02-03 20:16:10,2024-03-03 20:16:10,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-521159,C60,86.78,ZAR,Promo,2025-10-07 10:31:34,2025-10-14 10:31:34,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-235973,CHK,15.86,ZAR,Regular,2024-10-04 09:17:08,2024-11-04 09:17:08,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-235973,USV,16.81,ZAR,Regular,2025-05-13 02:03:04,2025-06-13 02:03:04,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-133098,CHK,13.01,ZAR,Regular,2024-07-02 02:10:25,2024-08-02 02:10:25,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-133098,CHK,13.79,ZAR,Regular,2025-03-13 13:17:13,2025-04-13 13:17:13,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-794849,USV,15.03,ZAR,Promo,2024-05-04 03:58:37,2024-05-11 03:58:37,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-794849,C60,15.93,ZAR,Regular,2025-11-09 12:42:25,2025-12-09 12:42:25,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-663603,USV,25.87,ZAR,Promo,2024-03-05 11:24:12,2024-03-12 11:24:12,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-663603,C60,27.42,ZAR,Promo,2025-07-09 05:55:18,2025-07-16 05:55:18,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-916643,USV,24.83,ZAR,Regular,2024-08-23 23:47:15,2024-09-23 23:47:15,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-916643,CHK,26.32,ZAR,Regular,2025-01-02 02:24:10,2025-02-02 02:24:10,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-544888,SHOP,17.08,ZAR,Promo,2024-07-26 11:04:28,2024-08-02 11:04:28,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-544888,C60,18.11,ZAR,Promo,2025-05-17 14:31:13,2025-05-24 14:31:13,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-668905,CHK,58.8,ZAR,Regular,2024-12-04 18:16:00,2025-01-04 18:16:00,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-668905,C60,62.33,ZAR,Promo,2025-02-07 10:01:13,2025-02-14 10:01:13,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-746025,C60,13.4,ZAR,Promo,2024-01-10 07:16:59,2024-01-17 07:16:59,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-746025,USV,14.2,ZAR,Promo,2025-11-01 13:10:54,2025-11-08 13:10:54,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-234555,SHOP,32.59,ZAR,Promo,2024-12-22 01:11:02,2024-12-29 01:11:02,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-234555,C60,34.55,ZAR,Regular,2025-06-09 00:53:50,2025-07-09 00:53:50,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-835561,USV,98.17,ZAR,Promo,2024-08-21 11:09:20,2024-08-28 11:09:20,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-835561,C60,104.06,ZAR,Promo,2025-04-22 11:12:03,2025-04-29 11:12:03,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-442073,SHOP,42.33,ZAR,Regular,2024-10-24 19:34:17,2024-11-24 19:34:17,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-442073,CHK,44.87,ZAR,Promo,2025-07-18 19:32:34,2025-07-25 19:32:34,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-975391,C60,15.56,ZAR,Regular,2024-12-15 08:14:00,2025-01-15 08:14:00,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-975391,SHOP,16.49,ZAR,Promo,2025-03-23 05:19:49,2025-03-30 05:19:49,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-705938,C60,25.97,ZAR,Regular,2024-04-15 21:37:04,2024-05-15 21:37:04,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
