product_sku,product_name,brand,division,category,pack_size,variant,standard_cost,supplier_name,source_system,load_timestamp,batch_id
SKU-256162,Freshmark Apples,Freshmark,Fresh Food,Produce,1.5,,24.61,Freshmark,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-432742,Nulaid Large Eggs,Nulaid,Fresh Food,Dairy & Eggs,18,,46.17,Quantum Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-239400,Championship Boerewors Thick Boerewors,Championship Boerewors,Fresh Food,Meat & Poultry,1,,85.43,Shoprite Private Label,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-297690,Parmalat Cheddar Cheese,Parmalat,Fresh Food,Dairy & Eggs,400,,56.57,Parmalat,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-712265,Crystal Valley Plain Yoghurt,Crystal Valley,Fresh Food,Dairy & Eggs,1,,34.53,Lancewood,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-830746,Country Fair Chicken Braaipack,Country Fair,Fresh Food,Meat & Poultry,1.5,,94.64,Astral Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-733988,Blue Ribbon White Bread,Blue Ribbon,Fresh Food,Bakery,1,,17.27,Premier FMCG,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-455538,Albany Hot Dog Rolls,Albany,Fresh Food,Bakery,6,,18.21,Tiger Brands,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-709850,Blue Ribbon White Bread,Blue Ribbon,Fresh Food,Bakery,1,,16.29,Premier FMCG,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-412497,Clover Low Fat Milk,Clover,Fresh Food,Dairy & Eggs,2,,35.84,Clover SA,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-529926,NikNaks Cheese Snacks,NikNaks,Grocery Essentials,Snacks & Confectionery,135,,16.39,PepsiCo,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-984558,Oros Orange Squash,Oros,Beverages,Drinks & Beverages,2,,44.34,Tiger Brands,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-623531,Liqui Fruit 100% Fruit Juice,Liqui Fruit,Beverages,Drinks & Beverages,1,,27.38,Pioneer Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-854211,Steakhouse Classic Beef T-Bone Steak,Steakhouse Classic,Fresh Food,Meat & Poultry,1,,136.92,Shoprite House Brand,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-160964,Nulaid Extra Large Eggs,Nulaid,Fresh Food,Dairy & Eggs,30,,77.53,Quantum Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-681443,Sunlight Dishwashing Liquid,Sunlight,Household,Cleaning Supplies,750,,29.08,Unilever,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-173774,Steakhouse Classic Beef T-Bone Steak,Steakhouse Classic,Fresh Food,Meat & Poultry,1,,138.4,Shoprite House Brand,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-488952,Nature's Choice Bananas,,Fresh Food,Produce,1,,22.07,Freshmark,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-522882,Freshmark Potatoes,Freshmark,Fresh Food,Produce,2,,35.82,Freshmark,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-102031,Freshmark Potatoes,Freshmark,Fresh Food,Produce,2,,34.3,Freshmark,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-913856,NikNaks Cheese Snacks,NikNaks,Grocery Essentials,Snacks & Confectionery,135,,14.15,PepsiCo,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-244367,Nulaid Extra Large Eggs,Nulaid,Fresh Food,Dairy & Eggs,30,,84.29,Quantum Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-670414,Cadbury Dairy Milk Chocolate Slab,Cadbury,Grocery Essentials,Snacks & Confectionery,150,,27.46,Mondelez,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-427312,Coca-Cola Coca-Cola No Sugar,Coca-Cola,Beverages,Drinks & Beverages,2,,24.95,Coca-Cola Beverages SA,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-427312,Coca-Cola Coca-Cola No Sugar,Coca-Cola,Beverages,Drinks & Beverages,2,,24.95,Coca-Cola Beverages SA,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-986709,Nature's Choice Bananas,Nature's Choice,Fresh Food,Produce,1,,20.14,Freshmark,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-714696,Beacon Sweets Pack,Beacon,Grocery Essentials,Snacks & Confectionery,100,,18.57,Tiger Brands,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-114718,Steakhouse Classic Beef T-Bone Steak,Steakhouse Classic,Fresh Food,Meat & Poultry,1,,110.29,Shoprite House Brand,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-110057,Beacon Sweets Pack,Beacon,Grocery Essentials,Snacks & Confectionery,100,,16.25,Tiger Brands,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-198223,Sunlight Dishwashing Liquid,Sunlight,Household,Cleaning Supplies,750,,32.8,Unilever,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-789933,Championship Boerewors Thick Boerewors,Championship Boerewors,Fresh Food,Meat & Poultry,1,,86.23,Shoprite Private Label,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-817276,Rainbow Chicken Chicken Mixed Portions (IQF),Rainbow Chicken,Fresh Food,Meat & Poultry,2,,98.55,RCL Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-131548,Liqui Fruit 100% Fruit Juice,Liqui Fruit,Beverages,Drinks & Beverages,1,,23.87,Pioneer Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-276050,Cappy Orange Juice Blend,Cappy,Beverages,Drinks & Beverages,1.5,,29.8,Coca-Cola Beverages SA,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-490454,Rainbow Chicken Fresh Whole Chicken,Rainbow Chicken,Fresh Food,Meat & Poultry,1.5,,73.46,RCL Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-897034,Ladismith Cheddar Cheese,Ladismith,Fresh Food,Dairy & Eggs,400,,53.99,Woodlands Dairy,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-987178,Liqui Fruit 100% Fruit Juice,Liqui Fruit,Beverages,Drinks & Beverages,1,,23.75,Pioneer Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-131253,Cadbury Dairy Milk Chocolate Slab,Cadbury,Grocery Essentials,Snacks & Confectionery,150,,31.29,Mondelez,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-209839,Nulaid Large Eggs,Nulaid,Fresh Food,Dairy & Eggs,18,,47.0,Quantum Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-963441,Nature's Choice Bananas,Nature's Choice,Fresh Food,Produce,1,,23.5,Freshmark,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-237613,Crystal Valley Plain Yoghurt,Crystal Valley,Fresh Food,Dairy & Eggs,1,,32.03,Lancewood,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-766048,Omo Auto Washing Powder,Omo,Household,Cleaning Supplies,2,,100.73,Unilever,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-943176,Cappy Orange Juice Blend,Cappy,Beverages,Drinks & Beverages,1.5,,29.03,Coca-Cola Beverages SA,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-821470,Domestos Thick Bleach,Domestos,Household,Cleaning Supplies,750,,37.56,Unilever,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-377447,Albany Hot Dog Rolls,Albany,Fresh Food,Bakery,6,,20.58,Tiger Brands,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-780463,Cadbury Dairy Milk Chocolate Slab,Cadbury,Grocery Essentials,Snacks & Confectionery,150,,31.82,Mondelez,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-338922,Sunbake Brown Bread,Sunbake,Fresh Food,Bakery,1,,13.46,RCL Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-497591,Farmbest Pork Chops,Farmbest,Fresh Food,Meat & Poultry,1,,93.32,Farmbest,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-811790,Beacon Sweets Pack,Beacon,Grocery Essentials,Snacks & Confectionery,100,,19.69,Tiger Brands,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-521159,Nulaid Extra Large Eggs,Nulaid,Fresh Food,Dairy & Eggs,30,,81.88,Quantum Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-235973,Sasko Premium White Bread,Sasko,Fresh Food,Bakery,1,,15.87,Pioneer Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-133098,Albany Brown Bread,Albany,Fresh Food,Bakery,1,,13.02,Tiger Brands,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-794849,Freshmark Onions,Freshmark,Fresh Food,Produce,1,,15.04,Freshmark,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-663603,Coca-Cola Coca-Cola No Sugar,Coca-Cola,Beverages,Drinks & Beverages,2,,25.88,Coca-Cola Beverages SA,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-916643,Nature's Choice Bananas,Nature's Choice,Fresh Food,Produce,1,,24.84,Freshmark,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-544888,Blue Ribbon White Bread,Blue Ribbon,Fresh Food,Bakery,1,,17.09,Premier FMCG,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-668905,Parmalat Cheddar Cheese,Parmalat,Fresh Food,Dairy & Eggs,400,,58.81,Parmalat,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-746025,Albany Brown Bread,Albany,Fresh Food,Bakery,1,,13.41,Tiger Brands,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-234555,Freshmark Potatoes,Freshmark,Fresh Food,Produce,2,,32.6,Freshmark,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-835561,Championship Boerewors Thick Boerewors,Championship Boerewors,Fresh Food,Meat & Poultry,1,,98.18,Shoprite Private Label,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-442073,Oros Orange Squash,Oros,Beverages,Drinks & Beverages,2,,42.34,Tiger Brands,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-975391,NikNaks Cheese Snacks,NikNaks,Grocery Essentials,Snacks & Confectionery,135,,15.57,PepsiCo,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-705938,Coca-Cola Coca-Cola Original,Coca-Cola,Beverages,Drinks & Beverages,2,,25.98,Coca-Cola Beverages SA,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-370212,Handy Andy Ammonia Floor Cleaner,Handy Andy,Household,Cleaning Supplies,750,,31.72,Unilever,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-981957,Omo Auto Washing Powder,Omo,Household,Cleaning Supplies,2,,90.14,Unilever,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-616731,Handy Andy Ammonia Floor Cleaner,Handy Andy,Household,Cleaning Supplies,750,,27.0,Unilever,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-930324,Blue Ribbon White Bread,Blue Ribbon,Fresh Food,Bakery,1,,15.11,Premier FMCG,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-930324,Blue Ribbon White Bread,Blue Ribbon,Fresh Food,Bakery,1,,15.11,Premier FMCG,SAP_ERP,2026-02-24 04:09:54,BATCH-20260224-01
SKU-826439,Lays Lightly Salted Chips,Lays,Grocery Essentials,Snacks & Confectionery,120,,20.32,PepsiCo,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-475707,Albany Brown Bread,Albany,Fresh Food,Bakery,1,,16.59,Tiger Brands,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-376176,Clover Low Fat Milk,Clover,Fresh Food,Dairy & Eggs,2,,33.58,Clover SA,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-675999,Coca-Cola Coca-Cola Original,Coca-Cola,Beverages,Drinks & Beverages,2,,22.45,Coca-Cola Beverages SA,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-215141,ZZ2 Tomatoes,ZZ2,Fresh Food,Produce,1,,22.72,ZZ2,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-283609,Omo Auto Washing Powder,Omo,Household,Cleaning Supplies,2,,87.87,Unilever,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-904573,Freshmark Potatoes,Freshmark,Fresh Food,Produce,2,,38.02,Freshmark,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-339284,Freshmark Apples,Freshmark,Fresh Food,Produce,1.5,,31.16,Freshmark,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-859487,Freshmark Onions,Freshmark,Fresh Food,Produce,1,,21.95,Freshmark,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-757333,Parmalat Cheddar Cheese,Parmalat,Fresh Food,Dairy & Eggs,400,,50.64,Parmalat,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-190395,Blue Ribbon White Bread,Blue Ribbon,Fresh Food,Bakery,1,,17.5,Premier FMCG,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-443350,Albany Hot Dog Rolls,Albany,Fresh Food,Bakery,6,,20.79,Tiger Brands,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-178634,Clover Low Fat Milk,Clover,Fresh Food,Dairy & Eggs,2,,34.19,Clover SA,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-653788,Championship Boerewors Thick Boerewors,Championship Boerewors,Fresh Food,Meat & Poultry,1,,89.62,Shoprite Private Label,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-681244,Farmbest Pork Chops,Farmbest,Fresh Food,Meat & Poultry,1,,82.22,Farmbest,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-721545,Albany Brown Bread,Albany,Fresh Food,Bakery,1,,16.58,Tiger Brands,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-210411,Doritos Sweet Chilli Pepper Chips,Doritos,Grocery Essentials,Snacks & Confectionery,145,,18.59,PepsiCo,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-642318,Sunbake Brown Bread,Sunbake,Fresh Food,Bakery,1,,13.88,RCL Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-681712,Parmalat Cheddar Cheese,Parmalat,Fresh Food,Dairy & Eggs,400,,54.99,Parmalat,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-681712,Parmalat Cheddar Cheese,Parmalat,Fresh Food,Dairy & Eggs,400,,54.99,Parmalat,SAP_ERP,2026-02-24 04:09:54,BATCH-20260224-01
SKU-673287,Sasko Premium White Bread,Sasko,Fresh Food,Bakery,1,,16.05,Pioneer Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-878266,Parmalat Cheddar Cheese,Parmalat,Fresh Food,Dairy & Eggs,400,,52.28,Parmalat,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-724424,Freshmark Potatoes,Freshmark,Fresh Food,Produce,2,,31.06,Freshmark,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-214032,Lays Lightly Salted Chips,Lays,Grocery Essentials,Snacks & Confectionery,120,,21.78,PepsiCo,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-401711,Freshmark Onions,Freshmark,Fresh Food,Produce,1,,15.87,Freshmark,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-800627,Lays Lightly Salted Chips,Lays,Grocery Essentials,Snacks & Confectionery,120,,18.74,PepsiCo,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-774951,Nulaid Large Eggs,Nulaid,Fresh Food,Dairy & Eggs,18,,51.75,Quantum Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-431708,Freshmark Onions,Freshmark,Fresh Food,Produce,1,,16.5,Freshmark,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-451753,Nature's Choice Bananas,Nature's Choice,Fresh Food,Produce,1,,19.46,Freshmark,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-745658,Handy Andy Ammonia Floor Cleaner,Handy Andy,Household,Cleaning Supplies,750,,32.13,Unilever,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-289820,Domestos Thick Bleach,Domestos,Household,Cleaning Supplies,750,,34.36,Unilever,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-153153,Blue Ribbon White Bread,Blue Ribbon,Fresh Food,Bakery,1,,17.45,Premier FMCG,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-407884,Handy Andy Ammonia Floor Cleaner,Handy Andy,Household,Cleaning Supplies,750,,27.98,Unilever,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-247974,Freshmark Potatoes,Freshmark,Fresh Food,Produce,2,,35.82,Freshmark,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-886127,Handy Andy Ammonia Floor Cleaner,Handy Andy,Household,Cleaning Supplies,750,,29.98,Unilever,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-547957,Blue Ribbon White Bread,Blue Ribbon,Fresh Food,Bakery,1,,14.65,Premier FMCG,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-328955,Nulaid Large Eggs,Nulaid,Fresh Food,Dairy & Eggs,18,,50.3,Quantum Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-883335,Clover Low Fat Milk,Clover,Fresh Food,Dairy & Eggs,2,,32.97,Clover SA,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-741262,Championship Boerewors Thick Boerewors,Championship Boerewors,Fresh Food,Meat & Poultry,1,,89.22,Shoprite Private Label,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-871250,Albany Hot Dog Rolls,Albany,Fresh Food,Bakery,6,,20.6,Tiger Brands,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-799167,Lays Lightly Salted Chips,Lays,Grocery Essentials,Snacks & Confectionery,120,,21.39,PepsiCo,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-156510,ZZ2 Tomatoes,ZZ2,Fresh Food,Produce,1,,20.99,ZZ2,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-144893,ZZ2 Tomatoes,ZZ2,Fresh Food,Produce,1,,25.65,ZZ2,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-511501,Albany White Bread,Albany,Fresh Food,Bakery,1,,15.53,Tiger Brands,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-230994,Coca-Cola Coca-Cola Original,Coca-Cola,,Drinks & Beverages,2,,24.89,Coca-Cola Beverages SA,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-268831,Championship Boerewors Thick Boerewors,Championship Boerewors,Fresh Food,Meat & Poultry,1,,94.05,Shoprite Private Label,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-168573,Oros Orange Squash,Oros,Beverages,Drinks & Beverages,2,,43.43,Tiger Brands,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-198560,Simba Cheese & Onion Chips,Simba,Grocery Essentials,Snacks & Confectionery,120,,17.46,PepsiCo,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-205960,Cappy Orange Juice Blend,Cappy,Beverages,Drinks & Beverages,1.5,,30.9,Coca-Cola Beverages SA,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-825711,Coca-Cola Coca-Cola Original,Coca-Cola,Beverages,Drinks & Beverages,2,,21.5,Coca-Cola Beverages SA,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-686534,Nulaid Extra Large Eggs,Nulaid,Fresh Food,Dairy & Eggs,30,,75.79,Quantum Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-733842,Danone NutriDay Plain Yoghurt,Danone,Fresh Food,Dairy & Eggs,1,,36.87,Danone,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-721374,NikNaks Cheese Snacks,NikNaks,Grocery Essentials,Snacks & Confectionery,135,,16.71,PepsiCo,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-639793,ZZ2 Tomatoes,ZZ2,Fresh Food,Produce,1,,21.72,ZZ2,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-885470,Crystal Valley Plain Yoghurt,Crystal Valley,Fresh Food,Dairy & Eggs,1,,33.33,Lancewood,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-526895,Championship Boerewors Thick Boerewors,Championship Boerewors,Fresh Food,Meat & Poultry,1,,85.11,Shoprite Private Label,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-425848,Sunbake Brown Bread,Sunbake,Fresh Food,Bakery,1,,15.48,RCL Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-425659,Clover Low Fat Milk,Clover,Fresh Food,Dairy & Eggs,2,,35.39,Clover SA,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-385655,ZZ2 Tomatoes,ZZ2,Fresh Food,Produce,1,,21.95,ZZ2,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-181610,Freshmark Onions,Freshmark,Fresh Food,Produce,1,,19.39,Freshmark,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-111740,Nulaid Extra Large Eggs,Nulaid,Fresh Food,Dairy & Eggs,30,,83.16,Quantum Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-935201,Albany Hot Dog Rolls,Albany,Fresh Food,Bakery,6,,22.63,Tiger Brands,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-833105,Omo Auto Washing Powder,Omo,Household,Cleaning Supplies,2,,95.37,Unilever,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
