order_date,customer_code,product_code,sold_quantity,gross_amount
2024-01-14,CUST-978371,SKU-226847,442,21512.14
2024-07-31,CUST-536842,SKU-688080,907,24343.88
2024-06-05,CUST-487875,SKU-833433,161,7681.31
2024-01-27,CUST-882701,SKU-108740,102,1491.24
2025-12-25,CUST-770551,SKU-538714,310,32661.6
2025-04-12,CUST-774361,SKU-254689,658,20154.54
2024-11-12,CUST-393182,SKU-580493,80,3168.8
2024-09-18,CUST-572713,SKU-920146,879,16279.08
2025-09-05,CUST-505863,SKU-709026,903,35433.72
2024-10-10,CUST-503641,SKU-317022,990,29195.1
2024-11-06,CUST-556174,SKU-964820,198,3213.54
2025-01-23,CUST-972086,SKU-496620,838,19835.46
2024-06-03,CUST-433657,SKU-453129,192,5735.04
2024-08-15,CUST-111456,SKU-636574,868,18262.72
2024-03-24,CUST-561237,SKU-286883,569,5456.71
2024-05-08,CUST-952585,SKU-380829,459,3134.97
2024-12-23,CUST-827741,SKU-824578,220,3476.0
2025-10-14,CUST-129074,SKU-900906,610,18574.5
2024-10-20,CUST-673582,SKU-299042,45,1359.45
2024-10-03,CUST-827324,SKU-142916,65,1612.0
2024-04-23,CUST-466167,SKU-380829,90,614.7
2025-08-21,CUST-103165,SKU-488791,575,10091.25
2024-04-28,CUST-119427,SKU-462983,455,11688.95
2024-05-29,CUST-406065,SKU-508596,706,8422.58
2025-03-23,CUST-774361,SKU-317022,990,30947.4
2025-01-07,CUST-666109,SKU-690774,774,22291.2
2024-06-13,CUST-253521,SKU-351454,95,6483.75
2025-04-03,CUST-929229,SKU-964834,226,5028.5
2024-12-22,CUST-775246,SKU-117542,38,786.6
2025-08-21,CUST-374157,SKU-367794,289,7222.11
2024-07-31,CUST-889320,SKU-888759,565,14068.5
2024-01-25,CUST-609226,SKU-351216,259,4058.53
2025-09-27,CUST-200534,SKU-410044,352,7191.36
2025-03-30,CUST-548218,SKU-655008,232,5289.6
2024-08-14,CUST-403434,SKU-214946,498,5114.46
2025-01-03,CUST-548218,SKU-512306,951,218853.63
2024-03-23,CUST-345861,SKU-488791,978,16185.9
2025-10-11,CUST-669198,SKU-962636,584,14553.28
2025-12-06,CUST-255133,SKU-461701,25,202.75
2024-06-27,CUST-424539,SKU-100490,909,10389.87
2025-02-24,CUST-927812,SKU-971157,586,46534.26
2024-07-05,CUST-489396,SKU-524328,269,15015.58
2024-05-26,CUST-882820,SKU-522220,476,49299.32
2025-06-26,CUST-816130,SKU-586903,132,2781.24
2024-05-24,CUST-491857,SKU-332262,634,16953.16
2025-12-09,CUST-449359,SKU-447025,155,3022.5
2024-10-14,CUST-775246,SKU-126637,351,5429.97
2024-12-29,CUST-954756,SKU-455334,546,4329.78
2025-11-27,CUST-673084,SKU-645749,551,12022.82
2024-04-27,CUST-337994,SKU-737000,719,94361.56
2024-06-11,CUST-774361,SKU-763186,706,42261.16
2024-01-04,CUST-225893,SKU-672744,419,76329.23
2024-03-20,CUST-259249,SKU-904517,825,63508.5
2025-04-15,CUST-482908,SKU-214946,214,2328.32
2024-11-17,CUST-167081,SKU-145801,421,44680.73
2024-03-10,CUST-203644,SKU-719014,745,15749.3
2024-02-19,CUST-227478,SKU-705631,433,10413.65
2025-02-23,CUST-279400,SKU-757485,248,57731.92
2025-06-24,CUST-471134,SKU-625525,323,8423.84
2025-02-07,CUST-559960,SKU-408749,412,13727.84
2024-12-16,CUST-848316,SKU-769914,449,12396.89
2024-07-24,CUST-950026,SKU-541263,484,7172.88
2024-07-06,CUST-875069,SKU-509044,916,94054.88
2024-01-30,CUST-505863,SKU-406399,330,9018.9
2024-01-13,CUST-856695,SKU-867546,896,29532.16
2024-06-01,CUST-406065,SKU-657184,569,20011.73
2025-06-28,CUST-649686,SKU-538684,653,150405.49
2024-02-06,CUST-491857,SKU-670898,668,15991.92
2025-05-12,CUST-618416,SKU-890973,639,4159.89
2024-11-26,CUST-290319,SKU-249872,26,4584.32
2024-01-02,CUST-345089,SKU-450918,827,156228.57
2025-03-15,CUST-977898,SKU-344214,560,9284.8
2025-08-30,CUST-936794,SKU-200628,110,3470.5
2024-10-28,CUST-527451,SKU-361901,763,45223.01
2024-06-29,CUST-518158,SKU-178642,643,14879.02
2024-07-04,CUST-781821,SKU-129681,756,4271.4
2024-05-13,CUST-256522,SKU-602545,940,18179.6
2024-03-26,CUST-609226,SKU-584763,478,10014.1
2024-08-07,CUST-471134,SKU-458196,386,3408.38
2024-02-25,CUST-167081,SKU-132574,399,15756.51
2024-02-22,CUST-114545,SKU-820987,152,8671.6
2025-09-20,CUST-556781,SKU-357573,724,11374.04
2024-05-12,CUST-445919,SKU-834144,828,12941.64
2025-04-29,CUST-693415,SKU-930951,378,19701.36
2024-07-12,CUST-119427,SKU-600826,902,23055.12
2025-02-13,CUST-449359,SKU-496620,848,20072.16
2024-05-05,CUST-275116,SKU-587562,883,45342.05
2025-07-16,CUST-614635,SKU-397873,214,5955.62
2024-06-23,CUST-112503,SKU-869179,325,10390.25
2025-04-17,CUST-710722,SKU-275745,540,14461.2
2025-04-22,CUST-597957,SKU-732495,15,333.9
2024-09-01,CUST-511720,SKU-618853,673,29827.36
2025-12-15,CUST-255133,SKU-549484,802,59989.6
2024-08-12,CUST-629112,SKU-760430,923,75086.05
2024-11-25,CUST-542164,SKU-720067,528,9393.12
2024-01-22,CUST-609245,SKU-888759,637,15861.3
2024-04-03,CUST-890404,SKU-840158,656,54047.84
2024-01-29,CUST-506220,SKU-885549,169,12490.79
2024-02-07,CUST-698600,SKU-525415,15,293.4
2024-07-02,CUST-704155,SKU-706188,99,1489.95
2024-09-15,CUST-317070,SKU-580493,760,30103.6
2025-10-19,CUST-556174,SKU-466550,183,9757.56
2024-11-25,CUST-822914,SKU-113463,751,17783.68
2025-06-27,CUST-279400,SKU-319561,695,9187.9
2025-11-02,CUST-210939,SKU-279998,492,4270.56
2024-02-01,CUST-224501,SKU-328176,28,537.04
2025-09-12,CUST-972086,SKU-356822,331,1664.93
2025-06-23,CUST-342534,SKU-484251,277,2412.67
2025-06-05,CUST-287569,SKU-136801,168,8657.04
2024-06-02,CUST-710722,SKU-361901,791,46882.57
2024-10-08,CUST-419982,SKU-892751,850,25279.0
2025-09-26,CUST-560126,SKU-343186,604,21448.04
2025-01-07,CUST-320445,SKU-489691,475,13119.5
2025-01-22,CUST-403434,SKU-739314,516,6677.04
2024-08-05,CUST-781821,SKU-700170,413,6938.4
2024-03-10,CUST-503641,SKU-263942,811,25676.26
2025-05-11,CUST-547466,SKU-750577,101,3811.74
2025-06-11,CUST-199485,SKU-821397,110,1743.5
2024-05-12,CUST-119427,SKU-313430,515,7349.05
2025-01-16,CUST-719493,SKU-889023,70,1654.1
2024-03-19,CUST-827089,SKU-335080,878,12414.92
2024-09-18,CUST-105144,SKU-308939,189,10122.84
2024-02-02,CUST-114545,SKU-587562,532,27318.2
2025-11-13,CUST-847481,SKU-655792,540,8915.4
2025-12-08,CUST-275116,SKU-985116,453,8982.99
2024-09-27,CUST-732792,SKU-261886,578,18178.1
2025-12-25,CUST-203644,SKU-524328,935,55323.95
2024-01-01,CUST-225893,SKU-351454,339,23136.75
2025-12-01,CUST-345861,SKU-824622,217,6633.69
2025-08-29,CUST-424539,SKU-116897,932,12926.84
2024-08-16,CUST-629112,SKU-772079,608,20921.28
2025-03-01,CUST-405633,SKU-734633,104,3333.2
2024-04-26,CUST-972086,SKU-413586,318,9431.88
2024-01-14,CUST-987680,SKU-832351,66,4451.7
2025-01-27,CUST-987680,SKU-690774,460,13248.0
2024-06-21,CUST-982083,SKU-618853,388,17196.16
2025-03-24,CUST-260338,SKU-397873,251,6985.33
2025-02-23,CUST-896510,SKU-423711,939,64152.48
2025-07-18,CUST-288266,SKU-699298,40,2424.8
2025-01-20,CUST-669198,SKU-327644,733,22466.45
2025-07-15,CUST-733299,SKU-111752,405,11157.75
2025-06-04,CUST-533259,SKU-343916,346,5435.66
2024-08-08,CUST-832187,SKU-657754,605,86351.65
2025-10-18,CUST-882701,SKU-760430,68,5863.64
2025-01-13,CUST-622573,SKU-121370,730,26550.1
2025-08-21,CUST-275551,SKU-543622,340,14188.2
2025-05-21,CUST-340708,SKU-453473,787,162200.7
2024-09-12,CUST-293316,SKU-967145,866,24706.98
2024-02-07,CUST-952585,SKU-637923,216,7743.6
2025-11-14,CUST-479916,SKU-161471,787,91134.6
2025-12-15,CUST-978371,SKU-466844,581,6013.35
2024-04-06,CUST-511720,SKU-360349,254,11041.38
2024-01-23,CUST-288266,SKU-963959,676,14419.08
2024-02-09,CUST-351962,SKU-525415,929,18171.24
2024-11-08,CUST-505863,SKU-131918,406,4798.92
2024-12-30,CUST-203644,SKU-972578,436,4578.0
2025-11-23,CUST-928873,SKU-747108,140,7313.6
2024-04-05,CUST-775246,SKU-249481,27,82.35
2024-06-30,CUST-482908,SKU-642865,40,3380.8
2024-04-10,CUST-260067,SKU-487967,491,25477.99
2025-08-11,CUST-867794,SKU-870000,183,11298.42
2024-11-28,CUST-242261,SKU-408749,647,20335.21
2024-09-27,CUST-704155,SKU-376006,914,13920.22
2025-07-16,CUST-618601,SKU-296058,150,1011.0
2025-08-10,CUST-977898,SKU-271770,900,36819.0
2024-12-12,CUST-597957,SKU-971244,859,27668.39
2025-09-22,CUST-609245,SKU-654876,759,31650.3
2025-12-09,CUST-275116,SKU-858002,530,9354.5
2024-10-03,CUST-807167,SKU-271735,454,19553.78
2024-05-20,CUST-673582,SKU-862533,675,14883.75
2025-04-09,CUST-978371,SKU-272688,938,56195.58
2025-12-16,CUST-489396,SKU-164244,412,12446.52
2025-04-06,CUST-253521,SKU-519834,372,4147.8
2024-03-07,CUST-860113,SKU-242510,852,5699.88
2025-08-05,CUST-197000,SKU-562995,844,5528.2
2025-09-12,CUST-290319,SKU-886587,624,18776.16
2025-08-21,CUST-210939,SKU-141432,784,23324.0
2024-07-28,CUST-153672,SKU-772229,510,48337.8
2024-11-05,CUST-870409,SKU-407895,959,65403.8
2025-10-31,CUST-470870,SKU-524328,106,6272.02
2025-10-11,CUST-631764,SKU-433514,818,17603.36
2024-02-08,CUST-221031,SKU-388776,435,17856.75
2024-03-01,CUST-287569,SKU-283842,580,6177.0
2024-01-22,CUST-885127,SKU-730587,33,1437.15
2024-02-27,CUST-112503,SKU-772229,370,35068.6
2025-11-06,CUST-255133,SKU-709026,355,13930.2
2025-06-22,CUST-556820,SKU-613232,963,31836.78
2025-11-21,CUST-782824,SKU-885511,709,12726.55
2024-02-08,CUST-201908,SKU-410044,246,4740.42
2024-05-16,CUST-200534,SKU-632645,728,31056.48
2024-10-22,CUST-465475,SKU-249481,497,1515.85
2025-08-10,CUST-944550,SKU-385135,325,8167.25
2025-01-21,CUST-867794,SKU-191394,207,14945.4
2024-12-06,CUST-910480,SKU-319335,592,11212.48
2024-06-20,CUST-987680,SKU-683896,881,49291.95
2025-02-09,CUST-184972,SKU-496685,253,10719.61
2025-03-25,CUST-518235,SKU-141432,688,20468.0
2024-09-09,CUST-605893,SKU-482027,850,19541.5
2025-12-19,CUST-424539,SKU-670898,224,5685.12
2024-12-03,CUST-410175,SKU-158176,254,6880.86
2025-10-29,CUST-827324,SKU-613134,558,66731.22
2024-03-21,CUST-212872,SKU-224055,262,5420.78
2025-04-04,CUST-860113,SKU-498178,396,25359.84
2024-01-26,CUST-542164,SKU-580231,697,30702.85
2024-01-04,CUST-533259,SKU-580231,158,6959.9
2025-02-11,CUST-197000,SKU-574452,124,1643.0
2025-07-11,CUST-489396,SKU-824275,523,4712.23
2025-02-26,CUST-548218,SKU-171327,676,7922.72
2024-06-05,CUST-436962,SKU-331699,458,5294.48
2024-11-24,CUST-536842,SKU-342871,712,11071.6
2024-03-06,CUST-966619,SKU-542455,737,4871.57
2024-10-11,CUST-669198,SKU-175287,772,11942.84
2024-09-05,CUST-449359,SKU-133652,691,16590.91
2025-11-06,CUST-139803,SKU-289036,452,1541.32
2025-08-14,CUST-351962,SKU-971244,196,6691.44
2024-12-26,CUST-781821,SKU-424530,278,15259.42
2024-03-23,CUST-471134,SKU-700170,195,3276.0
2025-03-26,CUST-349898,SKU-489142,28,692.72
2025-06-17,CUST-139803,SKU-366190,844,23876.76
2025-11-11,CUST-649686,SKU-946241,107,5923.52
2024-03-27,CUST-827089,SKU-553516,355,5545.1
2024-03-02,CUST-525071,SKU-182403,15,632.4
2024-05-21,CUST-522837,SKU-113463,469,11105.92
2024-04-19,CUST-222662,SKU-466413,411,7480.2
2024-05-20,CUST-548218,SKU-531792,213,14526.6
2024-11-12,CUST-410175,SKU-766747,703,33589.34
2025-11-12,CUST-293316,SKU-397873,65,1808.95
2025-09-24,CUST-225893,SKU-705631,898,22890.02
2025-05-06,CUST-322776,SKU-253421,254,2430.78
2024-07-06,CUST-260338,SKU-795801,434,10698.1
2024-02-12,CUST-210939,SKU-591727,121,3171.41
2024-03-22,CUST-436962,SKU-224567,726,10614.12
2024-09-19,CUST-555494,SKU-528144,856,14791.68
2025-02-17,CUST-197000,SKU-740025,157,8540.8
2024-04-13,CUST-619729,SKU-360349,428,18605.16
2025-02-16,CUST-719493,SKU-472302,260,27656.2
2024-09-27,CUST-282481,SKU-278819,897,8656.05
2025-03-28,CUST-774361,SKU-985116,38,753.54
2024-01-14,CUST-568648,SKU-840389,44,898.92
2025-08-06,CUST-242261,SKU-313577,420,12133.8
2025-01-13,CUST-849242,SKU-628646,324,6305.04
2024-01-15,CUST-732792,SKU-920015,930,19678.8
2025-05-27,CUST-322776,SKU-995185,501,7940.85
2024-03-28,CUST-374157,SKU-977524,224,9605.12
2024-06-19,CUST-849242,SKU-624817,499,7634.7
2025-07-26,CUST-840622,SKU-522220,416,45672.64
2024-06-05,CUST-275551,SKU-642865,795,67193.4
2025-03-14,CUST-885127,SKU-921265,312,10074.48
2025-10-12,CUST-337994,SKU-971244,257,8773.98
2025-05-14,CUST-666771,SKU-830036,147,1787.52
2024-03-24,CUST-744591,SKU-327644,103,2977.73
2025-08-02,CUST-259249,SKU-718385,480,2644.8
2025-05-10,CUST-342472,SKU-119440,843,13184.52
2024-11-19,CUST-153672,SKU-229557,514,39881.26
2025-09-08,CUST-505863,SKU-638425,831,18780.6
2024-03-09,CUST-733299,SKU-842257,913,67790.25
2024-07-18,CUST-671782,SKU-221842,187,1486.65
2025-10-12,CUST-470870,SKU-489691,126,3480.12
2025-07-07,CUST-582618,SKU-505236,323,7458.07
2025-04-21,CUST-233948,SKU-395498,30,300.3
2025-04-20,CUST-896510,SKU-705631,809,20621.41
2024-12-23,CUST-487875,SKU-538714,134,13318.26
2024-11-08,CUST-255133,SKU-784932,418,44914.1
2024-11-18,CUST-827089,SKU-522220,439,45467.23
2025-12-03,CUST-419982,SKU-886255,825,63780.75
2024-02-01,CUST-849280,SKU-392487,43,1076.29
2024-12-22,CUST-504617,SKU-213460,95,5481.5
2024-10-04,CUST-540465,SKU-520594,563,5753.86
2025-03-09,CUST-536842,SKU-617877,639,49190.22
2025-01-03,CUST-138957,SKU-956261,204,6356.64
2025-05-01,CUST-255133,SKU-499380,422,93684.0
2025-05-15,CUST-337994,SKU-343916,586,9206.06
2025-04-18,CUST-724220,SKU-328176,930,18906.9
2024-11-26,CUST-185190,SKU-349228,537,8307.39
2025-03-18,CUST-540465,SKU-441475,504,17055.36
2024-09-10,CUST-503641,SKU-371419,84,1743.0
2025-04-09,CUST-203644,SKU-846531,284,3623.84
2025-04-26,CUST-954756,SKU-182403,278,12423.82
2025-05-18,CUST-860113,SKU-340339,543,14014.83
2024-10-14,CUST-800282,SKU-377214,845,19477.25
2024-05-19,CUST-484797,SKU-747108,589,29025.92
2025-05-22,CUST-184972,SKU-826607,898,55999.28
2025-08-01,CUST-445919,SKU-786231,796,7378.92
2024-03-22,CUST-253521,SKU-886255,123,8970.39
2025-10-06,CUST-230013,SKU-319131,455,17053.4
2024-03-24,CUST-290914,SKU-366190,596,15907.24
2024-06-26,CUST-669198,SKU-813823,15,291.75
2025-10-07,CUST-352572,SKU-462657,706,17875.92
2024-11-26,CUST-120960,SKU-261607,897,44293.86
2025-08-17,CUST-342472,SKU-142743,724,10852.76
2025-08-04,CUST-522837,SKU-496620,944,22344.48
2024-12-24,CUST-625523,SKU-619794,16,217.76
2024-08-20,CUST-293316,SKU-740406,625,54706.25
2024-08-06,CUST-212872,SKU-578490,182,7079.8
2024-10-22,CUST-129074,SKU-759155,408,4761.36
2025-03-27,CUST-669198,SKU-221242,303,23152.23
2024-02-01,CUST-559960,SKU-740406,864,75625.92
2025-06-11,CUST-987680,SKU-684353,198,14566.86
2024-06-29,CUST-777375,SKU-813823,417,8110.65
2024-11-03,CUST-770551,SKU-587562,882,45290.7
2024-01-19,CUST-406065,SKU-349228,772,11942.84
2024-01-21,CUST-345861,SKU-790615,621,23945.76
2025-10-05,CUST-681122,SKU-719505,932,66507.52
2025-06-27,CUST-673582,SKU-366190,965,27299.85
2024-06-25,CUST-306552,SKU-254689,53,1531.7
2024-04-30,CUST-992478,SKU-185585,843,40261.68
2025-12-24,CUST-811726,SKU-619794,255,3679.65
2025-11-23,CUST-848316,SKU-729831,649,4828.56
2025-11-24,CUST-436962,SKU-633316,837,30316.14
2024-09-20,CUST-209811,SKU-108650,648,9188.64
2024-11-13,CUST-185190,SKU-757724,570,50496.3
2024-08-05,CUST-349540,SKU-234397,311,3141.1
2024-07-28,CUST-203644,SKU-447687,671,11977.35
2024-08-05,CUST-559960,SKU-851951,260,8091.2
2024-05-25,CUST-112503,SKU-706188,164,2468.2
2025-10-10,CUST-807167,SKU-673620,830,36860.3
2025-05-04,CUST-597957,SKU-928541,548,10362.68
2024-09-05,CUST-337994,SKU-708501,412,9195.84
2024-07-13,CUST-505863,SKU-788856,184,10379.44
2024-09-18,CUST-493052,SKU-308756,211,6591.64
2025-06-12,CUST-966619,SKU-235700,516,26873.28
2024-02-19,CUST-889320,SKU-170727,881,73246.34
2025-09-11,CUST-704155,SKU-522220,594,65215.26
2025-01-27,CUST-625523,SKU-451465,459,25465.32
2025-05-17,CUST-556174,SKU-840158,520,45411.6
2024-01-28,CUST-493052,SKU-125267,284,6486.56
2024-05-02,CUST-290319,SKU-526685,176,1775.84
2025-06-29,CUST-698600,SKU-302529,964,35311.32
2024-02-08,CUST-114545,SKU-301408,64,1972.48
2025-04-27,CUST-473557,SKU-422673,58,2400.04
2024-08-12,CUST-896510,SKU-836618,332,7722.32
2025-01-27,CUST-279400,SKU-113463,405,10165.5
2024-04-25,CUST-960058,SKU-360349,781,33950.07
2025-11-12,CUST-166698,SKU-426603,249,4698.63
2024-12-13,CUST-393182,SKU-821183,504,76340.88
2024-01-31,CUST-618416,SKU-658829,732,60024.0
2025-01-27,CUST-746459,SKU-308939,14,794.92
2025-04-06,CUST-185190,SKU-699298,945,57285.9
2024-05-22,CUST-105144,SKU-780876,155,8275.45
2024-08-08,CUST-225893,SKU-397873,582,15277.5
2025-05-01,CUST-896474,SKU-885511,224,4020.8
2024-08-24,CUST-199485,SKU-813823,487,9472.15
2024-08-17,CUST-693901,SKU-487925,386,60791.14
2024-10-23,CUST-929229,SKU-297097,260,9386.0
2024-01-19,CUST-875069,SKU-985116,393,7353.03
2024-12-27,CUST-867794,SKU-984733,640,32032.0
2024-04-14,CUST-578848,SKU-808370,364,6348.16
2024-05-17,CUST-556174,SKU-135086,978,11188.32
2024-10-14,CUST-614635,SKU-655008,959,20628.09
2024-12-23,CUST-135524,SKU-453129,638,19057.06
2025-03-24,CUST-682747,SKU-542455,915,6405.0
2024-01-06,CUST-605893,SKU-229557,900,69831.0
2024-04-26,CUST-279400,SKU-895694,45,949.5
2025-05-08,CUST-201908,SKU-508596,628,7944.2
2024-06-13,CUST-952585,SKU-450918,780,147349.8
2024-03-19,CUST-568648,SKU-353381,550,12694.0
2025-05-04,CUST-465475,SKU-971157,687,54554.67
2024-10-25,CUST-673084,SKU-229557,391,30337.69
2024-05-03,CUST-227478,SKU-778324,300,4140.0
2025-10-07,CUST-666771,SKU-626818,409,5595.12
2024-04-03,CUST-224501,SKU-433514,478,9703.4
2025-08-05,CUST-479916,SKU-442998,708,28100.52
2024-03-12,CUST-974555,SKU-688027,909,25352.01
2024-05-07,CUST-197000,SKU-808578,426,16878.12
2025-05-05,CUST-290914,SKU-477707,532,11586.96
2024-08-21,CUST-572713,SKU-574452,115,1437.5
2025-02-20,CUST-224501,SKU-309188,311,62706.93
2025-08-02,CUST-292522,SKU-409834,97,566.48
2024-10-03,CUST-322776,SKU-275178,870,9961.5
2024-05-04,CUST-343717,SKU-957650,586,14310.12
2025-04-12,CUST-875069,SKU-116897,589,8169.43
2024-07-24,CUST-222662,SKU-626818,625,8068.75
2024-06-27,CUST-342534,SKU-440849,202,41767.54
2025-04-24,CUST-781821,SKU-538714,222,23389.92
2024-04-24,CUST-572713,SKU-885121,600,23490.0
2025-08-28,CUST-506220,SKU-920015,818,18347.74
2025-06-28,CUST-329701,SKU-356798,978,73604.28
2024-07-07,CUST-681122,SKU-757724,536,47484.24
2025-07-06,CUST-394574,SKU-684680,870,13084.8
2025-05-05,CUST-782824,SKU-356822,340,1710.2
2024-08-14,CUST-484797,SKU-298850,51,1627.92
2024-01-31,CUST-910480,SKU-617877,639,46404.18
2024-02-01,CUST-429950,SKU-730587,820,35711.0
2024-04-03,CUST-320445,SKU-756897,810,11088.9
2024-12-06,CUST-651864,SKU-716484,191,4717.7
2024-05-03,CUST-259249,SKU-208397,578,26281.66
2025-09-02,CUST-342472,SKU-166140,254,8044.18
2024-12-30,CUST-847481,SKU-221842,329,2615.55
2025-07-23,CUST-698600,SKU-645626,245,7065.8
2025-08-28,CUST-340708,SKU-107998,660,20922.0
2024-10-15,CUST-950026,SKU-626818,66,852.06
2024-11-13,CUST-340708,SKU-379650,619,75815.12
2025-06-21,CUST-614635,SKU-161590,651,7851.06
2024-03-27,CUST-300751,SKU-813992,215,5312.65
2025-03-15,CUST-394574,SKU-920146,471,9245.73
2024-12-06,CUST-646694,SKU-632339,345,11067.6
2024-09-12,CUST-448323,SKU-328176,207,3970.26
2025-03-28,CUST-288266,SKU-199771,653,37312.42
2024-10-09,CUST-693901,SKU-754301,616,20106.24
2024-10-16,CUST-167081,SKU-544137,109,3259.1
2025-07-19,CUST-352572,SKU-279236,181,17213.1
2024-09-04,CUST-710722,SKU-753348,926,20816.48
2025-07-28,CUST-762014,SKU-719014,798,17883.18
