product_code ,price_zar ,currency ,year
SKU-353030   ,    93.81 ,ZAR      ,2025
SKU-552301   ,    11.74 ,ZAR      ,2024
SKU-552301   ,    12.44 ,ZAR      ,2025
SKU-456588   ,    19.82 ,ZAR      ,2024
SKU-456588   ,    21.01 ,ZAR      ,2025
SKU-957936   ,    41.23 ,ZAR      ,2024
SKU-957936   ,    43.71 ,ZAR      ,2025
SKU-709359   ,    45.87 ,ZAR      ,2024
SKU-709359   ,    48.63 ,ZAR      ,2025
SKU-824547   ,    16.03 ,ZAR      ,2024
SKU-824547   ,    16.99 ,ZAR      ,2025
SKU-352501   ,    10.14 ,ZAR      ,2024
SKU-352501   ,    10.75 ,ZAR      ,2025
SKU-719280   ,    32.13 ,ZAR      ,2024
SKU-719280   ,    34.05 ,ZAR      ,2025
SKU-353358   ,    63.54 ,ZAR      ,2024
SKU-353358   ,    67.36 ,ZAR      ,2025
SKU-22155    ,    10.07 ,ZAR      ,2024
SKU-22155    ,    10.67 ,ZAR      ,2025
SKU-967552   ,    19.59 ,ZAR      ,2024
SKU-967552   ,    20.77 ,ZAR      ,2025
SKU-90825    ,    88.69 ,ZAR      ,2024
SKU-90825    ,    94.02 ,ZAR      ,2025
SKU-467066   ,   162.83 ,ZAR      ,2024
SKU-467066   ,   172.6  ,ZAR      ,2025
SKU-100714   ,    48.38 ,ZAR      ,2024
SKU-100714   ,    51.29 ,ZAR      ,2025
SKU-289492   ,    20.09 ,ZAR      ,2024
SKU-289492   ,    21.3  ,ZAR      ,2025
SKU-754243   ,    31.47 ,ZAR      ,2024
SKU-754243   ,    33.36 ,ZAR      ,2025
SKU-613465   ,   100.1  ,ZAR      ,2024
SKU-613465   ,   106.1  ,ZAR      ,2025
SKU-481696   ,    21.75 ,ZAR      ,2024
SKU-481696   ,    23.06 ,ZAR      ,2025
SKU-133327   ,     8.2  ,ZAR      ,2024
SKU-133327   ,     8.69 ,ZAR      ,2025
SKU-460653   ,     6.98 ,ZAR      ,2024
SKU-460653   ,     7.4  ,ZAR      ,2025
SKU-501507   ,    85.49 ,ZAR      ,2024
SKU-501507   ,    90.62 ,ZAR      ,2025
SKU-683318   ,     8.04 ,ZAR      ,2024
SKU-683318   ,     8.52 ,ZAR      ,2025
SKU-526432   ,    30.89 ,ZAR      ,2024
SKU-526432   ,    32.74 ,ZAR      ,2025
SKU-821072   ,    86.77 ,ZAR      ,2024
SKU-821072   ,    91.97 ,ZAR      ,2025
SKU-269289   ,     5.66 ,ZAR      ,2024
SKU-269289   ,     6.0  ,ZAR      ,2025
SKU-932673   ,    26.8  ,ZAR      ,2024
SKU-932673   ,    28.41 ,ZAR      ,2025
SKU-191069   ,    15.55 ,ZAR      ,2024
SKU-191069   ,    16.49 ,ZAR      ,2025
SKU-961695   ,    95.22 ,ZAR      ,2024
SKU-961695   ,   100.93 ,ZAR      ,2025
SKU-856836   ,    32.3  ,ZAR      ,2024
SKU-856836   ,    34.24 ,ZAR      ,2025
SKU-159726   ,    11.13 ,ZAR      ,2024
SKU-159726   ,    11.8  ,ZAR      ,2025
SKU-584380   ,    29.25 ,ZAR      ,2024
SKU-584380   ,    31.01 ,ZAR      ,2025
SKU-907769   ,     6.72 ,ZAR      ,2024
SKU-907769   ,     7.13 ,ZAR      ,2025
SKU-686685   ,    38.27 ,ZAR      ,2024
SKU-686685   ,    40.57 ,ZAR      ,2025
SKU-969592   ,   207.06 ,ZAR      ,2024
SKU-969592   ,   219.48 ,ZAR      ,2025
SKU-924898   ,    20.68 ,ZAR      ,2024
SKU-924898   ,    21.93 ,ZAR      ,2025
SKU-80904    ,   203.41 ,ZAR      ,2024
SKU-80904    ,   215.61 ,ZAR      ,2025
SKU-265418   ,    83.35 ,ZAR      ,2024
SKU-265418   ,    88.35 ,ZAR      ,2025
SKU-622800   ,     6.34 ,ZAR      ,2024
SKU-622800   ,     6.72 ,ZAR      ,2025
SKU-138513   ,    34.11 ,ZAR      ,2024
SKU-138513   ,    36.16 ,ZAR      ,2025
SKU-220573   ,    30.68 ,ZAR      ,2024
SKU-220573   ,    32.53 ,ZAR      ,2025
SKU-117358   ,    33.75 ,ZAR      ,2024
SKU-117358   ,    35.78 ,ZAR      ,2025
SKU-917603   ,    94.08 ,ZAR      ,2024
SKU-917603   ,    99.72 ,ZAR      ,2025
SKU-181457   ,    10.79 ,ZAR      ,2024
SKU-181457   ,    11.44 ,ZAR      ,2025
SKU-538213   ,     7.55 ,ZAR      ,2024
SKU-538213   ,     8.01 ,ZAR      ,2025
SKU-689524   ,    12.2  ,ZAR      ,2024
SKU-689524   ,    12.93 ,ZAR      ,2025
SKU-108568   ,    21.32 ,ZAR      ,2024
SKU-108568   ,    22.59 ,ZAR      ,2025
SKU-365866   ,    26.99 ,ZAR      ,2024
SKU-365866   ,    28.61 ,ZAR      ,2025
SKU-331527   ,     9.52 ,ZAR      ,2024
SKU-331527   ,    10.09 ,ZAR      ,2025
SKU-615607   ,    38.28 ,ZAR      ,2024
SKU-615607   ,    40.58 ,ZAR      ,2025
SKU-325234   ,    10.94 ,ZAR      ,2024
SKU-325234   ,    11.6  ,ZAR      ,2025
SKU-447902   ,    32.27 ,ZAR      ,2024
SKU-447902   ,    34.21 ,ZAR      ,2025
SKU-207440   ,    28.2  ,ZAR      ,2024
SKU-207440   ,    29.89 ,ZAR      ,2025
SKU-804092   ,    21.93 ,ZAR      ,2024
SKU-804092   ,    23.25 ,ZAR      ,2025
SKU-560204   ,    11.62 ,ZAR      ,2024
SKU-560204   ,    12.32 ,ZAR      ,2025
SKU-162477   ,    38.66 ,ZAR      ,2024
SKU-162477   ,    40.98 ,ZAR      ,2025
SKU-634624   ,    71.41 ,ZAR      ,2024
SKU-634624   ,    75.69 ,ZAR      ,2025
SKU-481609   ,    59.98 ,ZAR      ,2024
SKU-481609   ,    63.58 ,ZAR      ,2025
SKU-266765   ,    12.56 ,ZAR      ,2024
SKU-266765   ,    13.32 ,ZAR      ,2025
SKU-840819   ,    40.9  ,ZAR      ,2024
SKU-840819   ,    43.35 ,ZAR      ,2025
SKU-414717   ,     4.1  ,ZAR      ,2024
SKU-414717   ,     4.35 ,ZAR      ,2025
SKU-234486   ,     8.47 ,ZAR      ,2024
SKU-234486   ,     8.98 ,ZAR      ,2025
SKU-181693   ,   112.76 ,ZAR      ,2024
SKU-181693   ,   119.53 ,ZAR      ,2025
SKU-584704   ,    19.73 ,ZAR      ,2024
SKU-584704   ,    20.92 ,ZAR      ,2025
SKU-962822   ,    23.95 ,ZAR      ,2024
SKU-962822   ,    25.39 ,ZAR      ,2025
SKU-566319   ,    43.03 ,ZAR      ,2024
SKU-566319   ,    45.62 ,ZAR      ,2025
SKU-189060   ,    18.22 ,ZAR      ,2024
SKU-189060   ,    19.31 ,ZAR      ,2025
SKU-776704   ,    24.29 ,ZAR      ,2024
SKU-776704   ,    25.75 ,ZAR      ,2025
SKU-831511   ,    16.4  ,ZAR      ,2024
SKU-831511   ,    17.38 ,ZAR      ,2025
SKU-915225   ,     6.15 ,ZAR      ,2024
SKU-915225   ,     6.52 ,ZAR      ,2025
SKU-484517   ,     9.67 ,ZAR      ,2024
SKU-484517   ,    10.25 ,ZAR      ,2025
SKU-494743   ,    57.85 ,ZAR      ,2024
SKU-494743   ,    61.33 ,ZAR      ,2025
SKU-852110   ,     8.33 ,ZAR      ,2024
SKU-852110   ,     8.83 ,ZAR      ,2025
SKU-652520   ,    62.49 ,ZAR      ,2024
SKU-652520   ,    66.24 ,ZAR      ,2025
SKU-966094   ,   201.99 ,ZAR      ,2024
SKU-966094   ,   214.11 ,ZAR      ,2025
SKU-287414   ,    51.45 ,ZAR      ,2024
SKU-287414   ,    54.54 ,ZAR      ,2025
SKU-331477   ,    16.25 ,ZAR      ,2024
SKU-331477   ,    17.23 ,ZAR      ,2025
SKU-635209   ,   109.45 ,ZAR      ,2024
SKU-635209   ,   116.02 ,ZAR      ,2025
SKU-268364   ,    13.94 ,ZAR      ,2024
SKU-268364   ,    14.78 ,ZAR      ,2025
SKU-191232   ,    34.69 ,ZAR      ,2024
SKU-191232   ,    36.77 ,ZAR      ,2025
SKU-122053   ,   197.37 ,ZAR      ,2024
SKU-122053   ,   209.22 ,ZAR      ,2025
SKU-283376   ,    33.12 ,ZAR      ,2024
SKU-283376   ,    35.11 ,ZAR      ,2025
SKU-872486   ,    33.93 ,ZAR      ,2024
SKU-872486   ,    35.97 ,ZAR      ,2025
SKU-444370   ,    60.39 ,ZAR      ,2024
SKU-444370   ,    64.02 ,ZAR      ,2025
SKU-453068   ,    34.15 ,ZAR      ,2024
SKU-453068   ,    36.2  ,ZAR      ,2025
SKU-234957   ,    19.39 ,ZAR      ,2024
SKU-234957   ,    20.56 ,ZAR      ,2025
SKU-888966   ,    12.45 ,ZAR      ,2024
SKU-888966   ,    13.19 ,ZAR      ,2025
SKU-92426    ,    79.91 ,ZAR      ,2024
SKU-92426    ,    84.7  ,ZAR      ,2025
SKU-652546   ,    41.77 ,ZAR      ,2024
SKU-652546   ,    44.27 ,ZAR      ,2025
SKU-933151   ,    17.73 ,ZAR      ,2024
SKU-933151   ,    18.8  ,ZAR      ,2025
SKU-116444   ,    10.04 ,ZAR      ,2024
SKU-116444   ,    10.64 ,ZAR      ,2025
SKU-893997   ,    42.35 ,ZAR      ,2024
SKU-893997   ,    44.89 ,ZAR      ,2025
SKU-551134   ,   106.95 ,ZAR      ,2024
SKU-551134   ,   113.37 ,ZAR      ,2025
SKU-13227    ,    23.44 ,ZAR      ,2024
SKU-13227    ,    24.85 ,ZAR      ,2025
SKU-315335   ,    32.81 ,ZAR      ,2024
SKU-315335   ,    34.78 ,ZAR      ,2025
SKU-673649   ,    42.07 ,ZAR      ,2024
SKU-673649   ,    44.59 ,ZAR      ,2025
SKU-501858   ,   128.85 ,ZAR      ,2024
SKU-501858   ,   136.58 ,ZAR      ,2025
SKU-6739     ,   107.29 ,ZAR      ,2024
SKU-6739     ,   113.73 ,ZAR      ,2025
SKU-894163   ,    10.99 ,ZAR      ,2024
SKU-894163   ,    11.65 ,ZAR      ,2025
SKU-83580    ,    19.26 ,ZAR      ,2024
SKU-83580    ,    20.41 ,ZAR      ,2025
SKU-218242   ,    83.07 ,ZAR      ,2024
SKU-218242   ,    88.05 ,ZAR      ,2025
SKU-293186   ,    30.23 ,ZAR      ,2024
SKU-293186   ,    32.04 ,ZAR      ,2025
SKU-551737   ,    11.01 ,ZAR      ,2024
SKU-551737   ,    11.67 ,ZAR      ,2025
SKU-959746   ,    39.27 ,ZAR      ,2024
SKU-959746   ,    41.62 ,ZAR      ,2025
SKU-230325   ,    16.46 ,ZAR      ,2024
SKU-230325   ,    17.45 ,ZAR      ,2025
SKU-24365    ,    27.34 ,ZAR      ,2024
SKU-24365    ,    28.98 ,ZAR      ,2025
SKU-602025   ,    75.75 ,ZAR      ,2024
SKU-602025   ,    80.29 ,ZAR      ,2025
SKU-439894   ,    49.96 ,ZAR      ,2024
SKU-439894   ,    52.95 ,ZAR      ,2025
SKU-543084   ,    24.25 ,ZAR      ,2024
SKU-543084   ,    25.7  ,ZAR      ,2025
SKU-37470    ,    74.59 ,ZAR      ,2024
SKU-37470    ,    79.06 ,ZAR      ,2025
SKU-94420    ,    37.73 ,ZAR      ,2024
SKU-94420    ,    39.99 ,ZAR      ,2025
SKU-802612   ,    78.06 ,ZAR      ,2024
SKU-802612   ,    82.75 ,ZAR      ,2025
SKU-942505   ,    21.25 ,ZAR      ,2024
SKU-942505   ,    22.53 ,ZAR      ,2025
SKU-574439   ,    42.78 ,ZAR      ,2024
SKU-574439   ,    45.34 ,ZAR      ,2025
SKU-295225   ,    18.29 ,ZAR      ,2024
SKU-295225   ,    19.39 ,ZAR      ,2025
SKU-379657   ,    39.29 ,ZAR      ,2024
SKU-379657   ,    41.65 ,ZAR      ,2025
SKU-931087   ,    63.59 ,ZAR      ,2024
SKU-931087   ,    67.4  ,ZAR      ,2025
SKU-83738    ,    24.0  ,ZAR      ,2024
SKU-83738    ,    25.44 ,ZAR      ,2025
SKU-363720   ,    21.3  ,ZAR      ,2024
SKU-363720   ,    22.58 ,ZAR      ,2025
SKU-418803   ,    59.27 ,ZAR      ,2024
SKU-418803   ,    62.83 ,ZAR      ,2025
SKU-531041   ,    36.03 ,ZAR      ,2024
SKU-531041   ,    38.19 ,ZAR      ,2025
SKU-208447   ,    97.55 ,ZAR      ,2024
SKU-208447   ,   103.4  ,ZAR      ,2025
SKU-411578   ,    29.74 ,ZAR      ,2024
SKU-411578   ,    31.53 ,ZAR      ,2025
SKU-397970   ,    23.32 ,ZAR      ,2024
SKU-397970   ,    24.72 ,ZAR      ,2025
SKU-74082    ,   103.41 ,ZAR      ,2024
SKU-74082    ,   109.61 ,ZAR      ,2025
SKU-985133   ,    67.48 ,ZAR      ,2024
SKU-985133   ,    71.53 ,ZAR      ,2025
SKU-63479    ,    64.87 ,ZAR      ,2024
SKU-63479    ,    68.77 ,ZAR      ,2025
SKU-685037   ,    41.71 ,ZAR      ,2024
SKU-685037   ,    44.21 ,ZAR      ,2025
SKU-100887   ,    29.37 ,ZAR      ,2024
SKU-100887   ,    31.13 ,ZAR      ,2025
SKU-775455   ,    36.28 ,ZAR      ,2024
SKU-775455   ,    38.46 ,ZAR      ,2025
SKU-400556   ,     6.34 ,ZAR      ,2024
SKU-400556   ,     6.72 ,ZAR      ,2025
SKU-112759   ,    74.85 ,ZAR      ,2024
SKU-112759   ,    79.34 ,ZAR      ,2025
SKU-381653   ,   173.68 ,ZAR      ,2024
SKU-381653   ,   184.1  ,ZAR      ,2025
SKU-959350   ,    26.15 ,ZAR      ,2024
SKU-959350   ,    27.72 ,ZAR      ,2025
SKU-602042   ,    95.5  ,ZAR      ,2024
SKU-602042   ,   101.23 ,ZAR      ,2025
SKU-976653   ,    68.1  ,ZAR      ,2024
SKU-976653   ,    72.18 ,ZAR      ,2025
SKU-424838   ,    65.97 ,ZAR      ,2024
SKU-424838   ,    69.92 ,ZAR      ,2025
SKU-86104    ,    18.9  ,ZAR      ,2024
SKU-86104    ,    20.03 ,ZAR      ,2025
SKU-47399    ,    41.05 ,ZAR      ,2024
SKU-47399    ,    43.52 ,ZAR      ,2025
SKU-980255   ,    13.93 ,ZAR      ,2024
SKU-980255   ,    14.76 ,ZAR      ,2025
SKU-364466   ,    11.54 ,ZAR      ,2024
SKU-364466   ,    12.23 ,ZAR      ,2025
SKU-381197   ,    21.83 ,ZAR      ,2024
SKU-381197   ,    23.14 ,ZAR      ,2025
SKU-760068   ,   180.61 ,ZAR      ,2024
SKU-760068   ,   191.45 ,ZAR      ,2025
SKU-387716   ,    49.85 ,ZAR      ,2024
SKU-387716   ,    52.84 ,ZAR      ,2025
SKU-902189   ,     8.25 ,ZAR      ,2024
SKU-902189   ,     8.74 ,ZAR      ,2025
SKU-766415   ,    14.17 ,ZAR      ,2024
SKU-766415   ,    15.02 ,ZAR      ,2025
SKU-809138   ,    14.78 ,ZAR      ,2024
SKU-809138   ,    15.67 ,ZAR      ,2025
SKU-902357   ,    16.58 ,ZAR      ,2024
SKU-902357   ,    17.57 ,ZAR      ,2025
SKU-600753   ,   208.68 ,ZAR      ,2024
SKU-600753   ,   221.2  ,ZAR      ,2025
SKU-973628   ,   103.33 ,ZAR      ,2024
SKU-973628   ,   109.53 ,ZAR      ,2025
SKU-882370   ,    24.9  ,ZAR      ,2024
SKU-882370   ,    26.39 ,ZAR      ,2025
SKU-596186   ,    28.0  ,ZAR      ,2024
SKU-596186   ,    29.68 ,ZAR      ,2025
SKU-689234   ,     8.53 ,ZAR      ,2024
SKU-689234   ,     9.04 ,ZAR      ,2025
SKU-516162   ,    17.33 ,ZAR      ,2024
SKU-516162   ,    18.37 ,ZAR      ,2025
SKU-236539   ,    72.98 ,ZAR      ,2024
SKU-236539   ,    77.36 ,ZAR      ,2025
SKU-369566   ,    14.28 ,ZAR      ,2024
SKU-369566   ,    15.14 ,ZAR      ,2025
SKU-956908   ,    41.67 ,ZAR      ,2024
SKU-956908   ,    44.18 ,ZAR      ,2025
SKU-6040     ,    17.3  ,ZAR      ,2024
SKU-6040     ,    18.34 ,ZAR      ,2025
SKU-524315   ,    14.43 ,ZAR      ,2024
SKU-524315   ,    15.3  ,ZAR      ,2025
SKU-322540   ,     7.09 ,ZAR      ,2024
SKU-322540   ,     7.51 ,ZAR      ,2025
SKU-242073   ,    24.55 ,ZAR      ,2024
SKU-242073   ,    26.02 ,ZAR      ,2025
SKU-654364   ,    20.85 ,ZAR      ,2024
SKU-654364   ,    22.1  ,ZAR      ,2025
SKU-581924   ,    26.54 ,ZAR      ,2024
SKU-581924   ,    28.13 ,ZAR      ,2025
SKU-585116   ,    17.52 ,ZAR      ,2024
SKU-585116   ,    18.57 ,ZAR      ,2025
SKU-163864   ,   119.2  ,ZAR      ,2024
SKU-163864   ,   126.36 ,ZAR      ,2025
SKU-637531   ,    85.16 ,ZAR      ,2024
SKU-637531   ,    90.27 ,ZAR      ,2025
SKU-675974   ,     8.94 ,ZAR      ,2024
SKU-675974   ,     9.47 ,ZAR      ,2025
SKU-279619   ,    38.13 ,ZAR      ,2024
SKU-279619   ,    40.42 ,ZAR      ,2025
SKU-660361   ,    23.95 ,ZAR      ,2024
SKU-660361   ,    25.39 ,ZAR      ,2025
SKU-334314   ,    40.09 ,ZAR      ,2024
SKU-334314   ,    42.49 ,ZAR      ,2025
SKU-535268   ,     9.5  ,ZAR      ,2024
SKU-535268   ,    10.07 ,ZAR      ,2025
SKU-326810   ,    55.28 ,ZAR      ,2024
SKU-326810   ,    58.6  ,ZAR      ,2025
SKU-913310   ,     3.8  ,ZAR      ,2024
SKU-913310   ,     4.03 ,ZAR      ,2025
SKU-408648   ,     8.74 ,ZAR      ,2024
SKU-408648   ,     9.26 ,ZAR      ,2025
SKU-561377   ,    21.49 ,ZAR      ,2024
SKU-561377   ,    22.78 ,ZAR      ,2025
SKU-736992   ,   120.19 ,ZAR      ,2024
SKU-736992   ,   127.4  ,ZAR      ,2025
SKU-555276   ,    83.02 ,ZAR      ,2024
SKU-555276   ,    88.0  ,ZAR      ,2025
SKU-847799   ,    11.36 ,ZAR      ,2024
SKU-847799   ,    12.05 ,ZAR      ,2025
SKU-16023    ,    23.12 ,ZAR      ,2024
SKU-16023    ,    24.51 ,ZAR      ,2025
SKU-394140   ,    31.31 ,ZAR      ,2024
SKU-394140   ,    33.19 ,ZAR      ,2025
SKU-627565   ,    13.47 ,ZAR      ,2024
SKU-627565   ,    14.28 ,ZAR      ,2025
SKU-735822   ,    22.09 ,ZAR      ,2024
SKU-735822   ,    23.42 ,ZAR      ,2025
SKU-571024   ,     8.84 ,ZAR      ,2024
SKU-571024   ,     9.38 ,ZAR      ,2025
SKU-440429   ,    26.45 ,ZAR      ,2024
SKU-440429   ,    28.04 ,ZAR      ,2025
SKU-457711   ,    90.59 ,ZAR      ,2024
SKU-457711   ,    96.03 ,ZAR      ,2025
SKU-473267   ,    10.93 ,ZAR      ,2024
SKU-473267   ,    11.59 ,ZAR      ,2025
SKU-830190   ,    19.28 ,ZAR      ,2024
SKU-830190   ,    20.44 ,ZAR      ,2025
SKU-950401   ,    16.72 ,ZAR      ,2024
SKU-950401   ,    17.72 ,ZAR      ,2025
SKU-826938   ,    13.08 ,ZAR      ,2024
SKU-826938   ,    13.86 ,ZAR      ,2025
SKU-763129   ,    19.48 ,ZAR      ,2024
SKU-763129   ,    20.65 ,ZAR      ,2025
SKU-245380   ,    14.74 ,ZAR      ,2024
SKU-245380   ,    15.63 ,ZAR      ,2025
SKU-274462   ,    16.58 ,ZAR      ,2024
SKU-274462   ,    17.57 ,ZAR      ,2025
SKU-996419   ,    53.66 ,ZAR      ,2024
SKU-996419   ,    56.88 ,ZAR      ,2025
SKU-214340   ,   107.36 ,ZAR      ,2024
SKU-214340   ,   113.8  ,ZAR      ,2025
SKU-916098   ,    21.61 ,ZAR      ,2024
SKU-916098   ,    22.91 ,ZAR      ,2025
SKU-856463   ,     9.08 ,ZAR      ,2024
SKU-856463   ,     9.63 ,ZAR      ,2025
SKU-337161   ,    65.44 ,ZAR      ,2024
SKU-337161   ,    69.37 ,ZAR      ,2025
SKU-57871    ,    38.1  ,ZAR      ,2024
SKU-57871    ,    40.38 ,ZAR      ,2025
SKU-487685   ,   210.4  ,ZAR      ,2024
SKU-487685   ,   223.02 ,ZAR      ,2025
SKU-365440   ,    18.0  ,ZAR      ,2024
SKU-365440   ,    19.08 ,ZAR      ,2025
SKU-918668   ,    62.54 ,ZAR      ,2024
SKU-918668   ,    66.29 ,ZAR      ,2025
SKU-245110   ,   152.3  ,ZAR      ,2024
SKU-245110   ,   161.44 ,ZAR      ,2025
SKU-520182   ,    20.3  ,ZAR      ,2024
SKU-520182   ,    21.52 ,ZAR      ,2025
SKU-94555    ,    54.43 ,ZAR      ,2024
SKU-94555    ,    57.69 ,ZAR      ,2025
SKU-82175    ,    15.82 ,ZAR      ,2024
SKU-82175    ,    16.77 ,ZAR      ,2025
SKU-817210   ,    34.98 ,ZAR      ,2024
SKU-817210   ,    37.08 ,ZAR      ,2025
SKU-660638   ,    22.68 ,ZAR      ,2024
SKU-660638   ,    24.04 ,ZAR      ,2025
SKU-489005   ,    38.09 ,ZAR      ,2024
SKU-489005   ,    40.38 ,ZAR      ,2025
SKU-231645   ,    62.03 ,ZAR      ,2024
