product_code,product,division,category,brand,variant
SKU-140283,Sweets Pack Cadbury,Grocery Essentials,Snacks & Confectionery,Cadbury,Each
SKU-929072,Chocolate Slab Simba,Grocery Essentials,Snacks & Confectionery,Simba,Pack
SKU-182039,Flavoured Drink Oros,Beverages,Drinks & Beverages,Oros,Pack
SKU-840158,Orange Squash Liqui Fruit,Beverages,Drinks & Beverages,Liqui Fruit,Pack
SKU-862533,Bananas ZZ2,Fresh Food,Produce,ZZ2,g
SKU-688027,Brown Bread Albany,Fresh Food,Bakery,Albany,Pack
SKU-795801,Margarine Ladismith,Fresh Food,Dairy & Eggs,Ladismith,Each
SKU-351291,Bleach Handy Andy,Household,Cleaning Supplies,Handy Andy,L
SKU-871748,Brown Bread Sunbake,Fresh Food,Bakery,Sunbake,Each
SKU-489691,Cheddar Cheese Ladismith,Fresh Food,Dairy & Eggs,Ladismith,g
SKU-424530,Boerewors Karan Beef,Fresh Food,Meat & Poultry,Karan Beef,g
SKU-895694,Salted Chips NikNaks,Grocery Essentials,Snacks & Confectionery,NikNaks,Pack
SKU-414058,100% Fruit Juice Liqui Fruit,Beverages,Drinks & Beverages,Liqui Fruit,L
SKU-379650,Boerewors Country Fair,Fresh Food,Meat & Poultry,Country Fair,kg
SKU-632645,Cheddar Cheese Clover,Fresh Food,Dairy & Eggs,Clover,L
SKU-286350,Brown Bread Blue Ribbon,Fresh Food,Bakery,Blue Ribbon,g
SKU-487967,Low Fat Milk Ladismith,Fresh Food,Dairy & Eggs,Ladismith,g
SKU-769914,Brown Bread Blue Ribbon,Fresh Food,Bakery,Blue Ribbon,g
SKU-317887,Dishwashing Liquid Omo,Household,Cleaning Supplies,Omo,Pack
SKU-658829,Cola Cappy,Beverages,Drinks & Beverages,Cappy,Pack
SKU-450918,Chicken Portions Rainbow Chicken,Fresh Food,Meat & Poultry,Rainbow Chicken,kg
SKU-371419,Hot Dog Rolls (6pk) Blue Ribbon,Fresh Food,Bakery,Blue Ribbon,Pack
SKU-684053,Onions Freshmark,Fresh Food,Produce,Freshmark,g
SKU-286411,Cheese Snacks Doritos,Grocery Essentials,Snacks & Confectionery,Doritos,Pack
SKU-574452,Salted Chips Lays,Grocery Essentials,Snacks & Confectionery,Lays,g
SKU-821397,Cola Cappy,Beverages,Drinks & Beverages,Cappy,ml
SKU-319561,Flavoured Drink Oros,Beverages,Drinks & Beverages,Oros,ml
SKU-313577,Margarine Crystal Valley,Fresh Food,Dairy & Eggs,Crystal Valley,ml
SKU-351865,Washing Powder Handy Andy,Household,Cleaning Supplies,Handy Andy,L
SKU-899283,Potatoes ZZ2,Fresh Food,Produce,ZZ2,g
SKU-853148,Beef Stewing Karan Beef,Fresh Food,Meat & Poultry,Karan Beef,kg
SKU-261713,Sweets Pack Lays,Grocery Essentials,Snacks & Confectionery,Lays,g
SKU-234397,Onions Nature's Choice,Fresh Food,Produce,Nature's Choice,Each
SKU-808370,Margarine Crystal Valley,Fresh Food,Dairy & Eggs,Crystal Valley,g
SKU-411163,Seeded Brown Bread Blue Ribbon,Fresh Food,Bakery,Blue Ribbon,Pack
SKU-706784,Seeded Brown Bread Sasko,Fresh Food,Bakery,Sasko,g
SKU-645626,Potato Chips Lays,Grocery Essentials,Snacks & Confectionery,Lays,g
SKU-490189,Bleach Omo,Household,Cleaning Supplies,Omo,ml
SKU-684680,Salted Chips Beacon,Grocery Essentials,Snacks & Confectionery,Beacon,Each
SKU-718385,Chips Lays,Grocery Essentials,Snacks & Confectionery,Lays,Each
SKU-996213,100% Fruit Juice Oros,Beverages,Drinks & Beverages,Oros,L
SKU-161095,Chicken Portions Rainbow Chicken,Fresh Food,Meat & Poultry,Rainbow Chicken,g
SKU-593695,Pork Chops Karan Beef,Fresh Food,Meat & Poultry,Karan Beef,g
SKU-256709,Dishwashing Liquid Sunlight,Household,Cleaning Supplies,Sunlight,L
SKU-618853,Large Eggs (18) Parmalat,Fresh Food,Dairy & Eggs,Parmalat,L
SKU-289802,Potato Chips Beacon,Grocery Essentials,Snacks & Confectionery,Beacon,Pack
SKU-432687,100% Fruit Juice Coca-Cola,Beverages,Drinks & Beverages,Coca-Cola,Pack
SKU-313208,Cheese Snacks NikNaks,Grocery Essentials,Snacks & Confectionery,NikNaks,Each
SKU-655008,Potatoes Nature's Choice,Fresh Food,Produce,Nature's Choice,g
SKU-740257,Washing Powder Domestos,Household,Cleaning Supplies,Domestos,L
SKU-966676,Washing Powder Sunlight,Household,Cleaning Supplies,Sunlight,ml
SKU-134272,Apples ZZ2,Fresh Food,Produce,ZZ2,g
SKU-319131,Bleach Sunlight,Household,Cleaning Supplies,Sunlight,L
SKU-784713,Chicken Portions Karan Beef,Fresh Food,Meat & Poultry,Karan Beef,g
SKU-543622,Beef Stewing Rainbow Chicken,Fresh Food,Meat & Poultry,Rainbow Chicken,g
SKU-378133,Seeded Brown Bread Albany,Fresh Food,Bakery,Albany,Pack
SKU-754663,Bananas Freshmark,Fresh Food,Produce,Freshmark,kg
SKU-709399,Apples Nature's Choice,Fresh Food,Produce,Nature's Choice,Each
SKU-660289,Plain Yoghurt Danone,Fresh Food,Dairy & Eggs,Danone,L
SKU-270853,Low Fat Milk Clover,Fresh Food,Dairy & Eggs,Clover,Each
SKU-963959,Bleach Domestos,Household,Cleaning Supplies,Domestos,ml
SKU-558183,Bananas Nature's Choice,Fresh Food,Produce,Nature's Choice,Each
SKU-131918,100% Fruit Juice Liqui Fruit,Beverages,Drinks & Beverages,Liqui Fruit,ml
SKU-821936,Seeded Brown Bread Albany,Fresh Food,Bakery,Albany,g
SKU-392379,Onions Freshmark,Fresh Food,Produce,Freshmark,g
SKU-514895,Pork Chops Rainbow Chicken,Fresh Food,Meat & Poultry,Rainbow Chicken,g
SKU-737000,Chicken Portions Rainbow Chicken,Fresh Food,Meat & Poultry,Rainbow Chicken,kg
SKU-895573,Orange Squash Liqui Fruit,Beverages,Drinks & Beverages,Liqui Fruit,Pack
SKU-644240,Brown Bread Blue Ribbon,Fresh Food,Bakery,Blue Ribbon,Pack
SKU-251696,Beef Stewing Karan Beef,Fresh Food,Meat & Poultry,Karan Beef,g
SKU-798013,Cola Liqui Fruit,Beverages,Drinks & Beverages,Liqui Fruit,ml
SKU-613134,Bleach Handy Andy,Household,Cleaning Supplies,Handy Andy,L
SKU-389768,Chocolate Slab Beacon,Grocery Essentials,Snacks & Confectionery,Beacon,Pack
SKU-809245,Hot Dog Rolls (6pk) Blue Ribbon,Fresh Food,Bakery,Blue Ribbon,g
SKU-766747,Low Fat Milk Crystal Valley,Fresh Food,Dairy & Eggs,Crystal Valley,g
SKU-886255,Boerewors Karan Beef,Fresh Food,Meat & Poultry,Karan Beef,g
SKU-602545,Cheese Snacks Simba,Grocery Essentials,Snacks & Confectionery,Simba,Each
SKU-750341,Orange Squash Oros,Beverages,Drinks & Beverages,Oros,Pack
SKU-380000,Seeded Brown Bread Albany,Fresh Food,Bakery,Albany,g
SKU-318082,Bleach Omo,Household,Cleaning Supplies,Omo,ml
SKU-455118,Bananas Freshmark,Fresh Food,Produce,Freshmark,Each
SKU-899692,White Bread Blue Ribbon,Fresh Food,Bakery,Blue Ribbon,Pack
SKU-499380,Pork Chops Country Fair,Fresh Food,Meat & Poultry,Country Fair,kg
SKU-463079,Apples Nature's Choice,Fresh Food,Produce,Nature's Choice,Each
SKU-904517,Flavoured Drink Coca-Cola,Beverages,Drinks & Beverages,Coca-Cola,Pack
SKU-126637,Flavoured Drink Cappy,Beverages,Drinks & Beverages,Cappy,L
SKU-136801,Beef Stewing Country Fair,Fresh Food,Meat & Poultry,Country Fair,g
SKU-708501,Full Cream Milk Parmalat,Fresh Food,Dairy & Eggs,Parmalat,Each
SKU-633316,Bleach Omo,Household,Cleaning Supplies,Omo,Pack
SKU-628646,Brown Bread Sunbake,Fresh Food,Bakery,Sunbake,Each
SKU-232937,Tomatoes ZZ2,Fresh Food,Produce,ZZ2,g
SKU-964834,Flavoured Drink Oros,Beverages,Drinks & Beverages,Oros,ml
SKU-133101,Boerewors Rainbow Chicken,Fresh Food,Meat & Poultry,Rainbow Chicken,g
SKU-818299,Hot Dog Rolls (6pk) Sunbake,Fresh Food,Bakery,Sunbake,g
SKU-488791,Seeded Brown Bread Sunbake,Fresh Food,Bakery,Sunbake,g
SKU-274107,Cola Oros,Beverages,Drinks & Beverages,Oros,L
SKU-166140,Seeded Brown Bread Sunbake,Fresh Food,Bakery,Sunbake,Pack
SKU-672744,Pork Chops Karan Beef,Fresh Food,Meat & Poultry,Karan Beef,kg
SKU-308752,Boerewors Rainbow Chicken,Fresh Food,Meat & Poultry,Rainbow Chicken,kg
SKU-941341,Chocolate Slab NikNaks,Grocery Essentials,Snacks & Confectionery,NikNaks,Pack
SKU-272950,Boerewors Rainbow Chicken,Fresh Food,Meat & Poultry,Rainbow Chicken,kg
SKU-395498,Hot Dog Rolls (6pk) Blue Ribbon,Fresh Food,Bakery,Blue Ribbon,Each
SKU-616256,Seeded Brown Bread Albany,Fresh Food,Bakery,Albany,g
SKU-234631,Brown Bread Albany,Fresh Food,Bakery,Albany,Each
SKU-793211,Margarine Danone,Fresh Food,Dairy & Eggs,Danone,Each
SKU-569458,Potato Chips Beacon,Grocery Essentials,Snacks & Confectionery,Beacon,Each
SKU-321470,Large Eggs (18) Ladismith,Fresh Food,Dairy & Eggs,Ladismith,ml
SKU-228099,Potatoes ZZ2,Fresh Food,Produce,ZZ2,Each
SKU-191664,Boerewors Karan Beef,Fresh Food,Meat & Poultry,Karan Beef,g
SKU-335080,Onions Freshmark,Fresh Food,Produce,Freshmark,g
SKU-957650,Large Eggs (18) Parmalat,Fresh Food,Dairy & Eggs,Parmalat,Each
SKU-424640,Boerewors Karan Beef,Fresh Food,Meat & Poultry,Karan Beef,g
SKU-466550,Bleach Handy Andy,Household,Cleaning Supplies,Handy Andy,Pack
SKU-739588,Flavoured Drink Cappy,Beverages,Drinks & Beverages,Cappy,ml
SKU-705631,Floor Cleaner Handy Andy,Household,Cleaning Supplies,Handy Andy,ml
SKU-404958,Apples Freshmark,Fresh Food,Produce,Freshmark,g
SKU-700170,Seeded Brown Bread Albany,Fresh Food,Bakery,Albany,Each
SKU-720067,Hot Dog Rolls (6pk) Sunbake,Fresh Food,Bakery,Sunbake,Each
SKU-659870,Full Cream Milk Parmalat,Fresh Food,Dairy & Eggs,Parmalat,ml
SKU-625615,Dishwashing Liquid Handy Andy,Household,Cleaning Supplies,Handy Andy,ml
SKU-607345,Large Eggs (18) Clover,Fresh Food,Dairy & Eggs,Clover,ml
SKU-108740,Sweets Pack Cadbury,Grocery Essentials,Snacks & Confectionery,Cadbury,Each
SKU-724203,Pork Chops Karan Beef,Fresh Food,Meat & Poultry,Karan Beef,kg
SKU-279998,Bananas ZZ2,Fresh Food,Produce,ZZ2,g
SKU-327644,Bleach Domestos,Household,Cleaning Supplies,Domestos,ml
SKU-380565,Full Cream Milk Clover,Fresh Food,Dairy & Eggs,Clover,g
SKU-113463,Potatoes Freshmark,Fresh Food,Produce,Freshmark,g
SKU-110136,Sweets Pack NikNaks,Grocery Essentials,Snacks & Confectionery,NikNaks,Each
SKU-710829,Chips Doritos,Grocery Essentials,Snacks & Confectionery,Doritos,Each
SKU-700101,Floor Cleaner Domestos,Household,Cleaning Supplies,Domestos,Pack
SKU-220049,Chips Doritos,Grocery Essentials,Snacks & Confectionery,Doritos,Each
SKU-753348,Onions Nature's Choice,Fresh Food,Produce,Nature's Choice,g
SKU-648896,Cheese Snacks Doritos,Grocery Essentials,Snacks & Confectionery,Doritos,Pack
SKU-116083,Floor Cleaner Handy Andy,Household,Cleaning Supplies,Handy Andy,ml
SKU-380829,Brown Bread Blue Ribbon,Fresh Food,Bakery,Blue Ribbon,Each
SKU-790615,Cola Oros,Beverages,Drinks & Beverages,Oros,L
SKU-657184,Low Fat Milk Danone,Fresh Food,Dairy & Eggs,Danone,g
SKU-141432,Hot Dog Rolls (6pk) Blue Ribbon,Fresh Food,Bakery,Blue Ribbon,Pack
SKU-682216,Brown Bread Sasko,Fresh Food,Bakery,Sasko,g
SKU-115626,Chips NikNaks,Grocery Essentials,Snacks & Confectionery,NikNaks,g
SKU-760430,Bleach Sunlight,Household,Cleaning Supplies,Sunlight,L
SKU-116897,Tomatoes Freshmark,Fresh Food,Produce,Freshmark,g
SKU-889210,Beef Stewing Rainbow Chicken,Fresh Food,Meat & Poultry,Rainbow Chicken,g
SKU-811731,Brown Bread Sasko,Fresh Food,Bakery,Sasko,g
SKU-896033,Bleach Omo,Household,Cleaning Supplies,Omo,Pack
SKU-782293,Dishwashing Liquid Handy Andy,Household,Cleaning Supplies,Handy Andy,ml
SKU-641961,Cheese Snacks Lays,Grocery Essentials,Snacks & Confectionery,Lays,g
SKU-549484,Floor Cleaner Sunlight,Household,Cleaning Supplies,Sunlight,Pack
SKU-580231,Bleach Domestos,Household,Cleaning Supplies,Domestos,Pack
SKU-869179,White Bread Sunbake,Fresh Food,Bakery,Sunbake,Pack
SKU-544137,Low Fat Milk Nulaid,Fresh Food,Dairy & Eggs,Nulaid,Each
SKU-246398,Pork Chops Rainbow Chicken,Fresh Food,Meat & Poultry,Rainbow Chicken,kg
SKU-984733,Floor Cleaner Omo,Household,Cleaning Supplies,Omo,Pack
SKU-550904,Floor Cleaner Sunlight,Household,Cleaning Supplies,Sunlight,ml
SKU-971244,Floor Cleaner Handy Andy,Household,Cleaning Supplies,Handy Andy,ml
SKU-975615,Chicken Portions Karan Beef,Fresh Food,Meat & Poultry,Karan Beef,kg
SKU-266111,White Bread Albany,Fresh Food,Bakery,Albany,Each
SKU-521409,White Bread Albany,Fresh Food,Bakery,Albany,g
SKU-971157,Beef Stewing Karan Beef,Fresh Food,Meat & Poultry,Karan Beef,g
SKU-700203,Seeded Brown Bread Sunbake,Fresh Food,Bakery,Sunbake,Each
SKU-528689,Floor Cleaner Domestos,Household,Cleaning Supplies,Domestos,L
SKU-798079,Tomatoes Freshmark,Fresh Food,Produce,Freshmark,g
SKU-900906,Potatoes Nature's Choice,Fresh Food,Produce,Nature's Choice,kg
SKU-399283,Bleach Sunlight,Household,Cleaning Supplies,Sunlight,Pack
SKU-637066,White Bread Albany,Fresh Food,Bakery,Albany,Pack
SKU-833433,100% Fruit Juice Coca-Cola,Beverages,Drinks & Beverages,Coca-Cola,Pack
SKU-388833,100% Fruit Juice Coca-Cola,Beverages,Drinks & Beverages,Coca-Cola,Pack
SKU-889023,100% Fruit Juice Oros,Beverages,Drinks & Beverages,Oros,ml
SKU-107998,Low Fat Milk Clover,Fresh Food,Dairy & Eggs,Clover,Each
SKU-613232,Brown Bread Sunbake,Fresh Food,Bakery,Sunbake,Pack
SKU-333546,Potatoes ZZ2,Fresh Food,Produce,ZZ2,g
SKU-392487,Flavoured Drink Liqui Fruit,Beverages,Drinks & Beverages,Liqui Fruit,L
SKU-415530,Bleach Omo,Household,Cleaning Supplies,Omo,Pack
SKU-706984,Cola Liqui Fruit,Beverages,Drinks & Beverages,Liqui Fruit,Pack
SKU-823052,Potato Chips Doritos,Grocery Essentials,Snacks & Confectionery,Doritos,g
SKU-308939,Dishwashing Liquid Omo,Household,Cleaning Supplies,Omo,ml
SKU-986263,Floor Cleaner Handy Andy,Household,Cleaning Supplies,Handy Andy,ml
SKU-808578,Chocolate Slab Lays,Grocery Essentials,Snacks & Confectionery,Lays,Pack
SKU-541197,Apples Freshmark,Fresh Food,Produce,Freshmark,Each
SKU-134882,Full Cream Milk Nulaid,Fresh Food,Dairy & Eggs,Nulaid,Each
SKU-597727,Dishwashing Liquid Omo,Household,Cleaning Supplies,Omo,ml
SKU-819603,Floor Cleaner Handy Andy,Household,Cleaning Supplies,Handy Andy,Pack
SKU-199771,Beef Stewing Karan Beef,Fresh Food,Meat & Poultry,Karan Beef,g
SKU-261607,Flavoured Drink Liqui Fruit,Beverages,Drinks & Beverages,Liqui Fruit,Pack
SKU-361901,Cola Oros,Beverages,Drinks & Beverages,Oros,Pack
SKU-736735,Pork Chops Karan Beef,Fresh Food,Meat & Poultry,Karan Beef,kg
SKU-959975,Bananas Nature's Choice,Fresh Food,Produce,Nature's Choice,g
SKU-465018,Washing Powder Domestos,Household,Cleaning Supplies,Domestos,ml
SKU-466844,Bananas Freshmark,Fresh Food,Produce,Freshmark,Each
SKU-429413,Chicken Portions Country Fair,Fresh Food,Meat & Poultry,Country Fair,kg
SKU-965193,Pork Chops Karan Beef,Fresh Food,Meat & Poultry,Karan Beef,g
SKU-763186,Cheese Snacks Beacon,Grocery Essentials,Snacks & Confectionery,Beacon,Pack
SKU-417497,Large Eggs (18) Clover,Fresh Food,Dairy & Eggs,Clover,g
SKU-742408,Onions Freshmark,Fresh Food,Produce,Freshmark,kg
SKU-125972,Cheddar Cheese Parmalat,Fresh Food,Dairy & Eggs,Parmalat,Each
SKU-815637,Dishwashing Liquid Handy Andy,Household,Cleaning Supplies,Handy Andy,ml
SKU-487925,Boerewors Karan Beef,Fresh Food,Meat & Poultry,Karan Beef,kg
SKU-279967,Potatoes ZZ2,Fresh Food,Produce,ZZ2,Each
SKU-824578,Flavoured Drink Liqui Fruit,Beverages,Drinks & Beverages,Liqui Fruit,ml
SKU-322754,Washing Powder Domestos,Household,Cleaning Supplies,Domestos,L
SKU-208397,Chocolate Slab Simba,Grocery Essentials,Snacks & Confectionery,Simba,Pack
SKU-647768,Bleach Domestos,Household,Cleaning Supplies,Domestos,ml
SKU-338828,Brown Bread Sunbake,Fresh Food,Bakery,Sunbake,g
SKU-954150,Large Eggs (18) Nulaid,Fresh Food,Dairy & Eggs,Nulaid,L
SKU-638425,Chicken Portions Karan Beef,Fresh Food,Meat & Poultry,Karan Beef,g
SKU-421196,Chips Lays,Grocery Essentials,Snacks & Confectionery,Lays,Pack
SKU-964820,Full Cream Milk Nulaid,Fresh Food,Dairy & Eggs,Nulaid,ml
SKU-656849,Seeded Brown Bread Blue Ribbon,Fresh Food,Bakery,Blue Ribbon,Each
SKU-552618,Pork Chops Country Fair,Fresh Food,Meat & Poultry,Country Fair,kg
SKU-542465,Potatoes Nature's Choice,Fresh Food,Produce,Nature's Choice,kg
SKU-253421,Cola Oros,Beverages,Drinks & Beverages,Oros,ml
SKU-867705,Washing Powder Sunlight,Household,Cleaning Supplies,Sunlight,Pack
SKU-567783,Full Cream Milk Nulaid,Fresh Food,Dairy & Eggs,Nulaid,g
SKU-747108,Margarine Crystal Valley,Fresh Food,Dairy & Eggs,Crystal Valley,g
SKU-482332,Bananas Freshmark,Fresh Food,Produce,Freshmark,Each
SKU-672306,Tomatoes Freshmark,Fresh Food,Produce,Freshmark,kg
SKU-490366,100% Fruit Juice Coca-Cola,Beverages,Drinks & Beverages,Coca-Cola,L
SKU-298397,Flavoured Drink Cappy,Beverages,Drinks & Beverages,Cappy,Pack
SKU-846292,Bananas Freshmark,Fresh Food,Produce,Freshmark,Each
SKU-934107,Margarine Clover,Fresh Food,Dairy & Eggs,Clover,Each
SKU-113582,Plain Yoghurt Crystal Valley,Fresh Food,Dairy & Eggs,Crystal Valley,L
SKU-892751,Bananas ZZ2,Fresh Food,Produce,ZZ2,kg
SKU-615285,Chicken Portions Karan Beef,Fresh Food,Meat & Poultry,Karan Beef,kg
SKU-729831,Potato Chips NikNaks,Grocery Essentials,Snacks & Confectionery,NikNaks,Each
SKU-109353,Dishwashing Liquid Handy Andy,Household,Cleaning Supplies,Handy Andy,Pack
SKU-542455,Salted Chips Doritos,Grocery Essentials,Snacks & Confectionery,Doritos,Each
SKU-921265,Large Eggs (18) Parmalat,Fresh Food,Dairy & Eggs,Parmalat,ml
SKU-496620,White Bread Blue Ribbon,Fresh Food,Bakery,Blue Ribbon,Pack
SKU-356822,Apples Nature's Choice,Fresh Food,Produce,Nature's Choice,Each
SKU-442635,Flavoured Drink Coca-Cola,Beverages,Drinks & Beverages,Coca-Cola,ml
SKU-224895,Full Cream Milk Crystal Valley,Fresh Food,Dairy & Eggs,Crystal Valley,ml
SKU-673620,Full Cream Milk Crystal Valley,Fresh Food,Dairy & Eggs,Crystal Valley,L
