product_code,price_zar,year
PROD912804SA,581,2025
PROD638551SA,1326,2024
PROD638551SA,680,2025
PROD799550SA,1779,2024
PROD799550SA,582,2025
PROD963110SA,549,2024
PROD963110SA,1358,2025
PROD512340SA,1471,2024
PROD512340SA,1965,2025
PROD921406SA,1842,2024
PROD921406SA,1349,2025
PROD252572SA,626,2024
PROD252572SA,400,2025
PROD767460SA,322,2024
PROD767460SA,1074,2025
PROD803035SA,1582,2024
PROD803035SA,507,2025
PROD992842SA,1857,2024
PROD992842SA,131,2025
PROD553306SA,1664,2024
PROD553306SA,1770,2025
PROD974036SA,1658,2024
PROD974036SA,1673,2025
PROD747581SA,1243,2024
PROD747581SA,842,2025
PROD459381SA,1367,2024
PROD459381SA,669,2025
PROD259947SA,1409,2024
PROD259947SA,301,2025
PROD22056SA,1492,2024
PROD22056SA,67,2025
PROD617024SA,1357,2024
PROD617024SA,1033,2025
PROD742225SA,620,2024
PROD742225SA,546,2025
PROD70674SA,1872,2024
PROD70674SA,872,2025
PROD539131SA,843,2024
PROD539131SA,810,2025
PROD224643SA,1523,2024
PROD224643SA,87,2025
PROD604201SA,1209,2024
PROD604201SA,1465,2025
PROD846721SA,1186,2024
PROD846721SA,1686,2025
PROD101639SA,403,2024
PROD101639SA,717,2025
PROD444154SA,1502,2024
PROD444154SA,1475,2025
PROD706073SA,470,2024
PROD706073SA,1420,2025
PROD63556SA,1109,2024
PROD63556SA,1322,2025
PROD839482SA,1622,2024
PROD839482SA,989,2025
PROD199448SA,1871,2024
PROD199448SA,1941,2025
PROD442374SA,1390,2024
PROD442374SA,749,2025
PROD261941SA,1053,2024
PROD261941SA,629,2025
PROD102664SA,1746,2024
PROD102664SA,363,2025
PROD876638SA,1736,2024
PROD876638SA,1361,2025
PROD174389SA,1810,2024
PROD174389SA,1158,2025
PROD224130SA,385,2024
PROD224130SA,616,2025
PROD397382SA,214,2024
PROD397382SA,979,2025
PROD971524SA,277,2024
PROD971524SA,1532,2025
PROD730429SA,544,2024
PROD730429SA,1500,2025
PROD162316SA,1670,2024
PROD162316SA,1159,2025
PROD61324SA,1577,2024
PROD61324SA,1884,2025
PROD63918SA,389,2024
PROD63918SA,1954,2025
PROD52578SA,1407,2024
PROD52578SA,1857,2025
PROD964047SA,702,2024
PROD964047SA,1355,2025
PROD532496SA,197,2024
PROD532496SA,470,2025
PROD623939SA,742,2024
PROD623939SA,472,2025
PROD423389SA,1539,2024
PROD423389SA,1799,2025
PROD607040SA,643,2024
PROD607040SA,876,2025
PROD85965SA,1629,2024
PROD85965SA,1831,2025
PROD592683SA,693,2024
PROD592683SA,776,2025
PROD214181SA,548,2024
PROD214181SA,1214,2025
PROD250280SA,617,2024
PROD250280SA,964,2025
PROD704318SA,1758,2024
PROD704318SA,256,2025
PROD331535SA,978,2024
PROD331535SA,124,2025
PROD651332SA,1789,2024
PROD651332SA,1314,2025
PROD563750SA,1210,2024
PROD563750SA,1203,2025
PROD138890SA,1948,2024
PROD138890SA,1286,2025
PROD387477SA,160,2024
PROD387477SA,982,2025
PROD874244SA,1836,2024
PROD874244SA,413,2025
PROD641390SA,1039,2024
PROD641390SA,260,2025
PROD700305SA,1791,2024
PROD700305SA,1409,2025
PROD984539SA,796,2024
PROD984539SA,1100,2025
PROD932931SA,626,2024
PROD932931SA,861,2025
PROD162998SA,125,2024
PROD162998SA,1798,2025
PROD220861SA,1764,2024
PROD220861SA,323,2025
PROD720892SA,296,2024
PROD720892SA,425,2025
PROD512262SA,716,2024
PROD512262SA,853,2025
PROD665095SA,1181,2024
PROD665095SA,1843,2025
PROD3717SA,1871,2024
PROD3717SA,952,2025
PROD169430SA,308,2024
PROD169430SA,662,2025
PROD739945SA,1781,2024
PROD739945SA,1480,2025
PROD117308SA,384,2024
PROD117308SA,1610,2025
PROD572092SA,180,2024
PROD572092SA,1013,2025
PROD579364SA,696,2024
PROD579364SA,1307,2025
PROD43860SA,377,2024
PROD43860SA,656,2025
PROD942590SA,1314,2024
PROD942590SA,133,2025
PROD699330SA,24,2024
PROD699330SA,940,2025
PROD927082SA,575,2024
PROD927082SA,443,2025
PROD970733SA,1573,2024
PROD970733SA,1599,2025
PROD924231SA,360,2024
PROD924231SA,1195,2025
PROD772343SA,1580,2024
PROD772343SA,339,2025
PROD279766SA,1017,2024
PROD279766SA,1623,2025
PROD401124SA,1578,2024
PROD401124SA,1611,2025
PROD209267SA,195,2024
PROD209267SA,280,2025
PROD860394SA,1273,2024
PROD860394SA,903,2025
PROD692094SA,1312,2024
PROD692094SA,894,2025
PROD292136SA,841,2024
PROD292136SA,893,2025
PROD672642SA,1991,2024
PROD672642SA,992,2025
PROD347235SA,800,2024
PROD347235SA,24,2025
PROD187241SA,92,2024
PROD187241SA,1108,2025
PROD113668SA,423,2024
PROD113668SA,1511,2025
PROD763934SA,779,2024
PROD763934SA,1960,2025
PROD536265SA,43,2024
PROD536265SA,1841,2025
PROD199312SA,674,2024
PROD199312SA,1565,2025
PROD1773SA,1721,2024
PROD1773SA,1102,2025
PROD381913SA,405,2024
PROD381913SA,51,2025
PROD653425SA,1400,2024
PROD653425SA,23,2025
PROD754717SA,1298,2024
PROD754717SA,1517,2025
PROD699287SA,524,2024
PROD699287SA,478,2025
PROD731076SA,1435,2024
PROD731076SA,1811,2025
PROD201158SA,720,2024
PROD201158SA,654,2025
PROD710219SA,279,2024
PROD710219SA,225,2025
PROD596750SA,800,2024
PROD596750SA,1045,2025
PROD874224SA,1220,2024
PROD874224SA,641,2025
PROD220392SA,357,2024
PROD220392SA,148,2025
PROD686508SA,1702,2024
PROD686508SA,108,2025
PROD463638SA,625,2024
PROD463638SA,1957,2025
PROD496171SA,610,2024
PROD496171SA,948,2025
PROD297571SA,1505,2024
PROD297571SA,1080,2025
PROD351470SA,1236,2024
PROD351470SA,1088,2025
PROD235552SA,706,2024
PROD235552SA,903,2025
PROD48458SA,1833,2024
PROD48458SA,1421,2025
PROD891014SA,289,2024
PROD891014SA,716,2025
PROD929181SA,1861,2024
PROD929181SA,1018,2025
PROD753240SA,750,2024
PROD753240SA,1551,2025
PROD419066SA,400,2024
PROD419066SA,352,2025
PROD936021SA,1956,2024
PROD936021SA,1872,2025
PROD184430SA,1895,2024
PROD184430SA,1677,2025
PROD52657SA,841,2024
PROD52657SA,54,2025
PROD478634SA,482,2024
PROD478634SA,474,2025
PROD586075SA,1504,2024
PROD586075SA,283,2025
PROD642412SA,447,2024
PROD642412SA,1518,2025
PROD870914SA,59,2024
PROD870914SA,1222,2025
PROD779779SA,1048,2024
PROD779779SA,361,2025
PROD788295SA,267,2024
PROD788295SA,765,2025
PROD803013SA,1471,2024
PROD803013SA,1347,2025
PROD287936SA,1637,2024
PROD287936SA,91,2025
PROD245884SA,783,2024
PROD245884SA,1810,2025
PROD936406SA,1326,2024
PROD936406SA,538,2025
PROD158157SA,1594,2024
PROD158157SA,1110,2025
PROD740734SA,1291,2024
PROD740734SA,114,2025
PROD427398SA,1231,2024
PROD427398SA,113,2025
PROD435970SA,1370,2024
PROD435970SA,236,2025
PROD408396SA,1353,2024
PROD408396SA,1727,2025
PROD898348SA,55,2024
PROD898348SA,113,2025
PROD6182SA,1427,2024
PROD6182SA,252,2025
PROD894905SA,868,2024
PROD894905SA,924,2025
PROD838722SA,793,2024
PROD838722SA,268,2025
PROD230080SA,1135,2024
PROD230080SA,532,2025
PROD30434SA,986,2024
PROD30434SA,1452,2025
PROD759359SA,328,2024
PROD759359SA,435,2025
PROD652483SA,1438,2024
PROD652483SA,1419,2025
PROD620644SA,1305,2024
PROD620644SA,34,2025
PROD88025SA,631,2024
PROD88025SA,876,2025
PROD908959SA,1370,2024
PROD908959SA,221,2025
PROD272793SA,1371,2024
PROD272793SA,1080,2025
PROD476786SA,567,2024
PROD476786SA,1290,2025
PROD291773SA,1255,2024
PROD291773SA,1450,2025
PROD493152SA,295,2024
PROD493152SA,872,2025
PROD54615SA,1716,2024
PROD54615SA,1855,2025
PROD819182SA,229,2024
PROD819182SA,1062,2025
PROD995740SA,1487,2024
PROD995740SA,1280,2025
PROD651517SA,256,2024
PROD651517SA,593,2025
PROD496564SA,248,2024
PROD496564SA,1622,2025
PROD993795SA,232,2024
PROD993795SA,1034,2025
PROD804150SA,421,2024
PROD804150SA,1262,2025
PROD636745SA,424,2024
PROD636745SA,1608,2025
PROD815573SA,553,2024
PROD815573SA,1717,2025
PROD606794SA,1086,2024
PROD606794SA,428,2025
PROD710250SA,748,2024
PROD710250SA,1455,2025
PROD79688SA,854,2024
PROD79688SA,619,2025
PROD106851SA,343,2024
PROD106851SA,95,2025
PROD844657SA,1137,2024
PROD844657SA,1031,2025
PROD364069SA,1879,2024
PROD364069SA,440,2025
PROD72306SA,1424,2024
PROD72306SA,1926,2025
PROD13266SA,999,2024
PROD13266SA,692,2025
PROD454582SA,495,2024
PROD454582SA,20,2025
PROD741666SA,41,2024
PROD741666SA,1390,2025
PROD769440SA,197,2024
PROD769440SA,1872,2025
PROD645830SA,241,2024
PROD645830SA,1725,2025
PROD456732SA,1190,2024
PROD456732SA,1385,2025
PROD337960SA,1026,2024
PROD337960SA,320,2025
PROD924457SA,1959,2024
PROD924457SA,199,2025
PROD597530SA,1611,2024
PROD597530SA,1062,2025
PROD352737SA,168,2024
PROD352737SA,1496,2025
PROD190672SA,1496,2024
PROD190672SA,222,2025
PROD836587SA,1867,2024
PROD836587SA,539,2025
PROD923082SA,1334,2024
PROD923082SA,488,2025
PROD582789SA,950,2024
PROD582789SA,621,2025
PROD89771SA,555,2024
PROD89771SA,965,2025
PROD512311SA,117,2024
PROD512311SA,219,2025
PROD677278SA,1680,2024
PROD677278SA,372,2025
PROD831450SA,1805,2024
PROD831450SA,95,2025
PROD232360SA,1760,2024
PROD232360SA,610,2025
PROD321080SA,752,2024
PROD321080SA,1656,2025
PROD496249SA,1401,2024
PROD496249SA,655,2025
PROD446173SA,887,2024
PROD446173SA,1527,2025
PROD368900SA,252,2024
PROD368900SA,209,2025
PROD321517SA,1758,2024
PROD321517SA,1567,2025
PROD756321SA,1838,2024
PROD756321SA,108,2025
PROD778967SA,34,2024
PROD778967SA,1759,2025
PROD200845SA,298,2024
PROD200845SA,1373,2025
PROD289930SA,1340,2024
PROD289930SA,364,2025
PROD625780SA,688,2024
PROD625780SA,747,2025
PROD310636SA,1846,2024
PROD310636SA,911,2025
PROD316950SA,1971,2024
PROD316950SA,1288,2025
PROD132731SA,564,2024
PROD132731SA,1814,2025
PROD580238SA,1516,2024
PROD580238SA,205,2025
PROD668854SA,778,2024
PROD668854SA,1684,2025
PROD601949SA,716,2024
PROD601949SA,389,2025
PROD461865SA,248,2024
PROD461865SA,835,2025
PROD264742SA,834,2024
PROD264742SA,1985,2025
PROD420172SA,949,2024
PROD420172SA,571,2025
PROD660021SA,1726,2024
PROD660021SA,804,2025
PROD156445SA,1427,2024
PROD156445SA,1757,2025
PROD260247SA,994,2024
PROD260247SA,1653,2025
PROD635770SA,878,2024
PROD635770SA,1343,2025
PROD813373SA,1829,2024
PROD813373SA,1647,2025
PROD952635SA,356,2024
PROD952635SA,246,2025
PROD449660SA,286,2024
PROD449660SA,1440,2025
PROD63156SA,1502,2024
PROD63156SA,135,2025
PROD993620SA,1945,2024
PROD993620SA,1744,2025
PROD277501SA,341,2024
PROD277501SA,227,2025
PROD251516SA,867,2024
PROD251516SA,1881,2025
PROD164136SA,1224,2024
PROD164136SA,1003,2025
PROD722858SA,1658,2024
PROD722858SA,1180,2025
PROD34225SA,1404,2024
PROD34225SA,912,2025
PROD737135SA,386,2024
PROD737135SA,1266,2025
PROD968790SA,792,2024
PROD968790SA,1610,2025
PROD693300SA,749,2024
PROD693300SA,1267,2025
PROD571015SA,74,2024
PROD571015SA,1781,2025
PROD952538SA,1416,2024
PROD952538SA,1817,2025
PROD62535SA,1732,2024
PROD62535SA,1504,2025
PROD785339SA,1841,2024
PROD785339SA,282,2025
PROD130394SA,1004,2024
PROD130394SA,1899,2025
PROD733723SA,1014,2024
PROD733723SA,246,2025
PROD566211SA,1832,2024
PROD566211SA,857,2025
PROD627086SA,917,2024
PROD627086SA,109,2025
PROD633039SA,144,2024
PROD633039SA,550,2025
PROD240044SA,1356,2024
PROD240044SA,658,2025
PROD996971SA,40,2024
PROD996971SA,1457,2025
PROD604238SA,1793,2024
PROD604238SA,1403,2025
PROD544173SA,1089,2024
PROD544173SA,1586,2025
PROD190305SA,1537,2024
PROD190305SA,1195,2025
PROD95674SA,1497,2024
PROD95674SA,1172,2025
PROD349499SA,473,2024
PROD349499SA,1972,2025
PROD899398SA,1386,2024
PROD899398SA,1803,2025
PROD727369SA,707,2024
PROD727369SA,1078,2025
PROD853085SA,1086,2024
PROD853085SA,1424,2025
PROD92337SA,1449,2024
PROD92337SA,1281,2025
PROD121552SA,210,2024
PROD121552SA,901,2025
PROD689606SA,1370,2024
PROD689606SA,1503,2025
PROD56837SA,524,2024
PROD56837SA,1001,2025
PROD652878SA,723,2024
PROD652878SA,1374,2025
PROD796907SA,1400,2024
PROD796907SA,1328,2025
PROD575898SA,803,2024
PROD575898SA,319,2025
PROD923634SA,1733,2024
PROD923634SA,1707,2025
PROD30271SA,1158,2024
PROD30271SA,1841,2025
PROD744261SA,1270,2024
PROD744261SA,126,2025
PROD14338SA,38,2024
PROD14338SA,1332,2025
PROD235615SA,1928,2024
PROD235615SA,336,2025
PROD679172SA,1050,2024
PROD679172SA,1753,2025
PROD533590SA,976,2024
PROD533590SA,1759,2025
PROD875271SA,1030,2024
PROD875271SA,1795,2025
PROD478975SA,353,2024
PROD478975SA,168,2025
PROD199869SA,1553,2024
PROD199869SA,1021,2025
PROD905997SA,671,2024
PROD905997SA,508,2025
PROD356385SA,692,2024
PROD356385SA,584,2025
PROD296578SA,118,2024
PROD296578SA,1053,2025
PROD608093SA,471,2024
PROD608093SA,1142,2025
PROD468238SA,1332,2024
PROD468238SA,790,2025
PROD348588SA,840,2024
PROD348588SA,1688,2025
PROD477463SA,496,2024
PROD477463SA,176,2025
PROD599573SA,955,2024
PROD599573SA,924,2025
PROD45767SA,1655,2024
PROD45767SA,1188,2025
PROD739485SA,932,2024
PROD739485SA,195,2025
PROD519389SA,1769,2024
PROD519389SA,1035,2025
PROD618849SA,930,2024
PROD618849SA,662,2025
PROD104555SA,258,2024
PROD104555SA,1033,2025
PROD757537SA,1541,2024
PROD757537SA,1353,2025
PROD78463SA,51,2024
PROD78463SA,225,2025
PROD653534SA,841,2024
PROD653534SA,859,2025
PROD893140SA,88,2024
PROD893140SA,1156,2025
PROD398468SA,1139,2024
PROD398468SA,15,2025
PROD914759SA,1706,2024
PROD914759SA,201,2025
PROD71744SA,1636,2024
PROD71744SA,1252,2025
PROD238536SA,1987,2024
PROD238536SA,1282,2025
PROD103225SA,1320,2024
PROD103225SA,638,2025
PROD465230SA,1837,2024
PROD465230SA,1056,2025
PROD947308SA,1166,2024
PROD947308SA,438,2025
PROD834816SA,1355,2024
PROD834816SA,1390,2025
PROD393049SA,949,2024
PROD393049SA,1961,2025
PROD556968SA,713,2024
PROD556968SA,759,2025
PROD178240SA,1705,2024
PROD178240SA,126,2025
PROD913141SA,1687,2024
PROD913141SA,471,2025
PROD521841SA,1744,2024
PROD521841SA,945,2025
PROD483550SA,694,2024
PROD483550SA,1162,2025
PROD267729SA,1586,2024
PROD267729SA,1284,2025
PROD944986SA,1243,2024
PROD944986SA,983,2025
PROD165649SA,1482,2024
PROD165649SA,1360,2025
PROD616113SA,759,2024
PROD616113SA,1481,2025
PROD723846SA,941,2024
PROD723846SA,248,2025
PROD208894SA,214,2024
PROD208894SA,1570,2025
PROD248728SA,1364,2024
PROD248728SA,469,2025
PROD602733SA,19,2024
PROD602733SA,714,2025
PROD23005SA,742,2024
PROD23005SA,1714,2025
PROD8491SA,1312,2024
PROD8491SA,1990,2025
PROD954851SA,1653,2024
PROD954851SA,612,2025
PROD873294SA,1136,2024
PROD873294SA,1084,2025
PROD840886SA,780,2024
PROD840886SA,1452,2025
PROD651051SA,232,2024
PROD651051SA,108,2025
PROD658765SA,1851,2024
PROD658765SA,351,2025
PROD323939SA,1023,2024
PROD323939SA,302,2025
PROD382584SA,1698,2024
PROD382584SA,1483,2025
PROD953813SA,1535,2024
PROD953813SA,1492,2025
PROD184171SA,853,2024
PROD184171SA,234,2025
PROD919035SA,535,2024
PROD919035SA,1266,2025
PROD957860SA,416,2024
PROD957860SA,399,2025
PROD958449SA,262,2024
PROD958449SA,1920,2025
PROD843298SA,1760,2024
PROD843298SA,819,2025
PROD147594SA,456,2024
PROD147594SA,951,2025
PROD886827SA,1703,2024
PROD886827SA,1615,2025
PROD829090SA,405,2024
PROD829090SA,1482,2025
PROD562636SA,707,2024
PROD562636SA,235,2025
PROD705511SA,1565,2024
PROD705511SA,863,2025
PROD612955SA,110,2024
PROD612955SA,1912,2025
PROD113609SA,1311,2024
PROD113609SA,1730,2025
PROD26240SA,1391,2024
PROD26240SA,1220,2025
PROD959715SA,267,2024
PROD959715SA,1596,2025
PROD666269SA,1841,2024
PROD666269SA,937,2025
PROD680776SA,951,2024
PROD680776SA,1363,2025
PROD47549SA,1221,2024
PROD47549SA,1973,2025
PROD121761SA,1047,2024
PROD121761SA,290,2025
PROD142254SA,1988,2024
PROD142254SA,1036,2025
PROD703055SA,23,2024
PROD703055SA,1101,2025
PROD439486SA,1522,2024
PROD439486SA,114,2025
PROD928423SA,1148,2024
PROD928423SA,1930,2025
PROD874190SA,901,2024
PROD874190SA,1732,2025
PROD984668SA,1213,2024
PROD984668SA,1004,2025
PROD227823SA,1908,2024
PROD227823SA,1056,2025
PROD897004SA,1614,2024
PROD897004SA,1901,2025
PROD570913SA,1879,2024
PROD570913SA,377,2025
PROD417479SA,1431,2024
PROD417479SA,1199,2025
PROD995109SA,370,2024
PROD995109SA,1511,2025
PROD672875SA,1684,2024
PROD672875SA,277,2025
PROD53035SA,227,2024
PROD53035SA,808,2025
PROD825206SA,1361,2024
PROD825206SA,1244,2025
PROD870127SA,1256,2024
PROD870127SA,1822,2025
PROD226441SA,674,2024
PROD226441SA,1047,2025
PROD826952SA,1820,2024
PROD826952SA,802,2025
PROD900104SA,872,2024
PROD900104SA,1262,2025
PROD262829SA,1890,2024
PROD262829SA,1433,2025
PROD138205SA,1576,2024
PROD138205SA,523,2025
PROD617457SA,575,2024
PROD617457SA,829,2025
PROD278258SA,1988,2024
PROD278258SA,717,2025
PROD551640SA,617,2024
PROD551640SA,942,2025
PROD499380SA,1663,2024
PROD499380SA,288,2025
PROD622503SA,297,2024
PROD622503SA,860,2025
PROD232311SA,1248,2024
PROD232311SA,1448,2025
PROD316282SA,1830,2024
PROD316282SA,1547,2025
PROD63780SA,1064,2024
PROD63780SA,627,2025
PROD719425SA,1741,2024
PROD719425SA,1451,2025
PROD77060SA,1136,2024
PROD77060SA,1777,2025
PROD155539SA,657,2024
PROD155539SA,1472,2025
PROD654644SA,1524,2024
PROD654644SA,1930,2025
