date,customer_code,product_code,sold_quantity
2026-02-07,CUST759340SA,PROD54615SA,17
2026-02-09,CUST484045SA,PROD490785SA,15
2026-01-24,CUST137057SA,PROD63780SA,10
2026-02-14,CUST565990SA,PROD364069SA,7
2026-01-16,CUST445807SA,PROD900104SA,3
2026-02-16,CUST774568SA,PROD829090SA,6
2026-02-17,CUST377114SA,PROD756321SA,25
2026-01-27,CUST838338SA,PROD788295SA,1
2026-01-31,CUST17500SA,PROD234053SA,7
2026-02-02,CUST877633SA,PROD417479SA,25
2026-01-11,CUST565990SA,PROD570913SA,22
2026-01-21,CUST968355SA,PROD556968SA,4
2026-01-11,CUST401620SA,PROD705511SA,27
2026-02-04,CUST759782SA,PROD783300SA,24
2026-02-07,CUST343187SA,PROD79688SA,21
2026-02-10,CUST991148SA,PROD836587SA,3
2026-02-06,CUST128473SA,PROD63156SA,5
2026-01-02,CUST776880SA,PROD870914SA,23
2026-01-17,CUST549787SA,PROD158157SA,3
2026-01-04,CUST316528SA,PROD533590SA,6
2026-02-08,CUST999716SA,PROD923634SA,18
2026-01-04,CUST620970SA,PROD435970SA,27
2026-01-12,CUST94641SA,PROD622503SA,9
2026-01-20,CUST424707SA,PROD764544SA,15
2026-01-31,CUST298768SA,PROD103225SA,14
2026-01-16,CUST829130SA,PROD291704SA,13
2026-02-02,CUST877330SA,PROD971524SA,18
2026-01-01,CUST112168SA,PROD778967SA,24
2026-01-31,CUST613799SA,PROD836587SA,25
2026-02-06,CUST670030SA,PROD843298SA,2
2026-02-04,CUST409420SA,PROD165649SA,3
2026-01-18,CUST229772SA,PROD730429SA,17
2026-01-06,CUST980452SA,PROD963110SA,26
2026-02-03,CUST96446SA,PROD652483SA,20
2026-01-05,CUST812617SA,PROD475763SA,25
2026-02-15,CUST388712SA,PROD954851SA,13
2026-01-20,CUST106857SA,PROD63918SA,22
2026-01-02,CUST549414SA,PROD710250SA,6
2026-01-27,CUST762540SA,PROD929181SA,5
2026-02-06,CUST305986SA,PROD612955SA,26
2026-02-09,CUST920538SA,PROD699330SA,18
2026-01-15,CUST581687SA,PROD208894SA,21
2026-01-08,CUST144247SA,PROD26240SA,22
2026-02-13,CUST395019SA,PROD26225SA,26
2026-02-12,CUST906141SA,PROD264742SA,21
2026-01-19,CUST639427SA,PROD101639SA,1
2026-01-28,CUST642039SA,PROD572092SA,18
2026-01-07,CUST220073SA,PROD184171SA,2
2026-01-01,CUST632512SA,PROD98246SA,20
2026-01-20,CUST720184SA,PROD562636SA,18
2026-02-16,CUST918823SA,PROD742225SA,10
2026-01-11,CUST809676SA,PROD829090SA,24
2026-02-14,CUST409420SA,PROD264742SA,12
2026-01-11,CUST939394SA,PROD43860SA,29
2026-02-01,CUST549395SA,PROD638551SA,17
2026-01-07,CUST467429SA,PROD803035SA,6
2026-01-11,CUST553081SA,PROD184430SA,27
2026-01-13,CUST680233SA,PROD235552SA,4
2026-01-09,CUST770899SA,PROD651517SA,26
2026-01-28,CUST877633SA,PROD138205SA,2
2026-02-11,CUST405674SA,PROD521841SA,30
2026-02-18,CUST184654SA,PROD442374SA,18
2026-01-23,CUST644883SA,PROD633039SA,18
2026-01-04,CUST8886SA,PROD98246SA,22
2026-01-04,CUST260322SA,PROD165649SA,4
2026-01-10,CUST994913SA,PROD831450SA,19
2026-01-24,CUST496520SA,PROD928423SA,11
2026-01-18,CUST906141SA,PROD465230SA,22
2026-02-02,CUST578870SA,PROD174389SA,4
2026-01-14,CUST170341SA,PROD893140SA,3
2026-02-14,CUST154887SA,PROD232360SA,11
2026-01-24,CUST921777SA,PROD912804SA,11
2026-01-31,CUST250786SA,PROD839482SA,10
2026-02-03,CUST610981SA,PROD539131SA,5
2026-01-28,CUST409711SA,PROD897004SA,12
2026-02-09,CUST991101SA,PROD894905SA,14
2026-01-09,CUST581687SA,PROD52657SA,11
2026-01-13,CUST662423SA,PROD209267SA,8
2026-02-04,CUST93806SA,PROD267729SA,21
2026-01-22,CUST325301SA,PROD860394SA,27
2026-01-18,CUST499968SA,PROD45767SA,22
2026-02-05,CUST285192SA,PROD928423SA,29
2026-01-24,CUST401583SA,PROD596750SA,15
2026-01-18,CUST253690SA,PROD147594SA,10
2026-01-24,CUST475682SA,PROD602733SA,4
2026-01-09,CUST960632SA,PROD932931SA,20
2026-01-05,CUST907322SA,PROD618849SA,9
2026-02-12,CUST306278SA,PROD331535SA,5
2026-02-13,CUST91254SA,PROD815573SA,7
2026-01-13,CUST790371SA,PROD267729SA,29
2026-01-31,CUST816964SA,PROD924231SA,24
2026-01-04,CUST618836SA,PROD993795SA,1
2026-02-11,CUST247231SA,PROD772343SA,21
2026-01-02,CUST443588SA,PROD178240SA,19
2026-01-29,CUST777722SA,PROD830555SA,25
2026-01-29,CUST261805SA,PROD750800SA,30
2026-01-02,CUST616126SA,PROD478634SA,9
2026-01-27,CUST409420SA,PROD804150SA,18
2026-01-24,CUST829504SA,PROD924457SA,25
2026-01-08,CUST959579SA,PROD899398SA,13
2026-01-11,CUST229437SA,PROD623939SA,25
2026-01-29,CUST326053SA,PROD668854SA,28
2026-01-15,CUST860899SA,PROD66613SA,15
2026-01-25,CUST688637SA,PROD356385SA,3
2026-01-20,CUST872097SA,PROD439898SA,17
2026-01-01,CUST858130SA,PROD665095SA,8
2026-02-11,CUST801280SA,PROD149811SA,26
2026-02-18,CUST592447SA,PROD34225SA,22
2026-01-09,CUST766634SA,PROD465230SA,17
2026-01-07,CUST334198SA,PROD251516SA,6
2026-01-09,CUST93624SA,PROD645830SA,19
2026-02-02,CUST77077SA,PROD113609SA,5
2026-02-06,CUST58840SA,PROD475763SA,16
2026-02-16,CUST375691SA,PROD604238SA,2
2026-01-11,CUST834328SA,PROD893140SA,16
2026-01-12,CUST571971SA,PROD731076SA,9
2026-01-19,CUST611046SA,PROD419066SA,2
2026-02-02,CUST962526SA,PROD968790SA,17
2026-02-14,CUST572079SA,PROD397382SA,12
2026-01-20,CUST731160SA,PROD788295SA,30
2026-01-23,CUST431319SA,PROD356385SA,2
2026-01-02,CUST892247SA,PROD622503SA,21
2026-01-16,CUST64664SA,PROD184171SA,23
2026-02-17,CUST730729SA,PROD418801SA,21
2026-02-10,CUST946746SA,PROD705511SA,27
2026-02-06,CUST175329SA,PROD897004SA,19
2026-01-27,CUST314353SA,PROD687277SA,6
2026-01-19,CUST178794SA,PROD912804SA,13
2026-01-18,CUST599743SA,PROD22056SA,21
2026-02-14,CUST705668SA,PROD78463SA,3
2026-01-26,CUST579720SA,PROD918938SA,13
2026-02-17,CUST117659SA,PROD873294SA,8
2026-01-26,CUST839333SA,PROD248728SA,12
2026-02-10,CUST36415SA,PROD423389SA,12
2026-01-24,CUST226130SA,PROD750800SA,16
2026-02-13,CUST459507SA,PROD63556SA,1
2026-01-25,CUST249556SA,PROD631262SA,5
2026-01-22,CUST33958SA,PROD993620SA,8
2026-01-04,CUST49161SA,PROD130394SA,21
2026-01-14,CUST471578SA,PROD928423SA,5
2026-01-10,CUST512756SA,PROD52578SA,12
2026-01-30,CUST388712SA,PROD224643SA,27
2026-01-06,CUST544932SA,PROD1773SA,8
2026-01-21,CUST64633SA,PROD617024SA,11
2026-02-05,CUST68804SA,PROD928463SA,16
2026-02-03,CUST216092SA,PROD836587SA,16
2026-01-11,CUST808206SA,PROD733723SA,6
2026-02-01,CUST491699SA,PROD763934SA,14
2026-01-02,CUST334198SA,PROD533590SA,2
2026-01-07,CUST149289SA,PROD902592SA,19
2026-01-08,CUST122629SA,PROD778967SA,21
2026-01-26,CUST778586SA,PROD652483SA,29
2026-01-29,CUST663984SA,PROD277501SA,2
2026-01-09,CUST146814SA,PROD52578SA,30
2026-01-09,CUST680233SA,PROD971524SA,13
2026-01-30,CUST371496SA,PROD77060SA,19
2026-02-01,CUST553081SA,PROD235615SA,29
2026-02-05,CUST259896SA,PROD874190SA,22
2026-02-10,CUST144283SA,PROD579364SA,3
2026-01-11,CUST36415SA,PROD737135SA,20
2026-02-18,CUST530108SA,PROD638720SA,28
2026-01-24,CUST588967SA,PROD401124SA,8
2026-02-10,CUST603727SA,PROD668854SA,20
2026-01-07,CUST783159SA,PROD496564SA,19
2026-02-10,CUST520306SA,PROD85965SA,6
2026-01-31,CUST711444SA,PROD121552SA,17
2026-01-13,CUST78645SA,PROD825206SA,24
2026-02-03,CUST988052SA,PROD337960SA,30
2026-01-23,CUST422842SA,PROD642412SA,19
2026-01-04,CUST328930SA,PROD456732SA,13
2026-01-19,CUST311847SA,PROD586075SA,4
2026-01-01,CUST346337SA,PROD902592SA,17
2026-02-12,CUST816808SA,PROD291773SA,17
2026-02-03,CUST226130SA,PROD164136SA,27
2026-01-08,CUST804092SA,PROD240174SA,4
2026-01-09,CUST533469SA,PROD117308SA,29
2026-01-31,CUST787842SA,PROD764544SA,2
2026-02-13,CUST397687SA,PROD902931SA,18
2026-01-25,CUST103396SA,PROD710219SA,4
2026-01-05,CUST877633SA,PROD936021SA,22
2026-01-07,CUST563356SA,PROD912804SA,20
2026-01-27,CUST499968SA,PROD778967SA,1
2026-02-13,CUST720184SA,PROD272793SA,25
2026-02-03,CUST994623SA,PROD463638SA,14
2026-01-26,CUST368247SA,PROD891014SA,12
2026-02-12,CUST82790SA,PROD71744SA,23
2026-01-26,CUST278428SA,PROD310636SA,8
2026-02-15,CUST377114SA,PROD608093SA,16
2026-02-08,CUST853266SA,PROD77060SA,13
2026-01-18,CUST738862SA,PROD387477SA,26
2026-02-06,CUST64633SA,PROD899398SA,25
2026-02-11,CUST932786SA,PROD401124SA,19
2026-01-05,CUST279676SA,PROD619176SA,5
2026-01-13,CUST16418SA,PROD633052SA,25
2026-01-12,CUST748255SA,PROD95674SA,28
2026-01-05,CUST656401SA,PROD556968SA,20
2026-02-12,CUST589275SA,PROD98246SA,14
2026-01-13,CUST216092SA,PROD26225SA,1
2026-02-04,CUST713884SA,PROD248728SA,26
2026-01-01,CUST597467SA,PROD672875SA,17
2026-01-06,CUST323331SA,PROD753240SA,1
2026-01-19,CUST840181SA,PROD932931SA,7
2026-02-03,CUST411776SA,PROD970733SA,11
2026-01-21,CUST514435SA,PROD952635SA,4
2026-01-08,CUST518119SA,PROD199448SA,21
2026-01-29,CUST77289SA,PROD201158SA,9
2026-02-11,CUST565990SA,PROD638720SA,14
2026-01-28,CUST42210SA,PROD785339SA,20
2026-01-14,CUST709922SA,PROD612955SA,22
2026-01-20,CUST589849SA,PROD200845SA,7
2026-01-21,CUST91254SA,PROD524902SA,26
2026-01-28,CUST181162SA,PROD512340SA,6
2026-01-19,CUST588861SA,PROD444154SA,18
2026-01-24,CUST142723SA,PROD606794SA,10
2026-01-29,CUST749014SA,PROD468238SA,25
2026-02-04,CUST402686SA,PROD781177SA,24
2026-01-07,CUST399226SA,PROD8491SA,28
2026-02-02,CUST999716SA,PROD970733SA,24
2026-01-12,CUST540310SA,PROD113668SA,26
2026-02-04,CUST467122SA,PROD606794SA,6
2026-01-05,CUST147475SA,PROD995109SA,17
2026-01-20,CUST902075SA,PROD478634SA,11
2026-02-09,CUST871662SA,PROD653425SA,20
2026-02-04,CUST544559SA,PROD490785SA,23
2026-01-03,CUST670030SA,PROD706073SA,13
2026-02-17,CUST467773SA,PROD719425SA,1
2026-02-09,CUST659104SA,PROD974036SA,27
2026-01-08,CUST465471SA,PROD553306SA,30
2026-01-30,CUST994913SA,PROD368900SA,3
2026-01-04,CUST543998SA,PROD184430SA,8
2026-01-19,CUST969051SA,PROD742225SA,20
2026-01-02,CUST766437SA,PROD759359SA,13
2026-02-15,CUST860899SA,PROD162998SA,13
2026-01-31,CUST484045SA,PROD753240SA,17
2026-01-15,CUST710380SA,PROD536265SA,20
2026-01-03,CUST226130SA,PROD799550SA,25
2026-02-10,CUST287892SA,PROD958449SA,21
2026-01-25,CUST575914SA,PROD26240SA,1
2026-01-10,CUST764234SA,PROD739485SA,22
2026-02-15,CUST8105SA,PROD665095SA,17
2026-01-15,CUST563356SA,PROD102664SA,2
2026-02-08,CUST144247SA,PROD47549SA,17
2026-01-26,CUST328930SA,PROD30434SA,8
2026-01-31,CUST264679SA,PROD693300SA,22
2026-01-02,CUST840247SA,PROD382584SA,8
2026-02-02,CUST425110SA,PROD113668SA,6
2026-01-05,CUST466732SA,PROD928463SA,9
2026-02-08,CUST938256SA,PROD321517SA,12
2026-02-02,CUST856800SA,PROD900104SA,13
2026-01-29,CUST655993SA,PROD860394SA,17
2026-01-01,CUST918964SA,PROD625780SA,23
2026-01-04,CUST806814SA,PROD839482SA,3
2026-01-27,CUST813875SA,PROD750800SA,24
2026-02-10,CUST674225SA,PROD739945SA,30
2026-01-29,CUST999716SA,PROD874244SA,12
2026-02-17,CUST397687SA,PROD291773SA,9
2026-01-12,CUST186080SA,PROD947308SA,7
2026-01-23,CUST373023SA,PROD524902SA,13
2026-01-29,CUST226222SA,PROD356385SA,9
2026-01-09,CUST512756SA,PROD490785SA,17
2026-01-06,CUST286544SA,PROD418801SA,3
2026-01-25,CUST161684SA,PROD267729SA,11
2026-02-16,CUST451533SA,PROD604201SA,26
2026-01-26,CUST885447SA,PROD287936SA,9
2026-02-12,CUST50068SA,PROD735911SA,27
2026-02-08,CUST260289SA,PROD230283SA,9
2026-02-04,CUST771411SA,PROD235615SA,13
2026-01-28,CUST760053SA,PROD874190SA,25
2026-01-12,CUST252674SA,PROD993620SA,11
2026-02-17,CUST163137SA,PROD651517SA,15
2026-02-03,CUST229437SA,PROD190672SA,29
2026-01-29,CUST128594SA,PROD230080SA,1
2026-01-24,CUST852993SA,PROD704318SA,9
2026-01-04,CUST209144SA,PROD201158SA,21
2026-02-08,CUST186266SA,PROD876638SA,8
2026-02-03,CUST450797SA,PROD653534SA,8
2026-02-09,CUST810143SA,PROD893140SA,14
2026-02-16,CUST649840SA,PROD944986SA,17
2026-01-27,CUST790371SA,PROD277501SA,23
2026-02-10,CUST170341SA,PROD853085SA,8
2026-01-15,CUST975094SA,PROD781177SA,13
2026-02-03,CUST702667SA,PROD201158SA,27
2026-01-17,CUST549395SA,PROD63556SA,18
2026-02-15,CUST514435SA,PROD641390SA,16
2026-01-16,CUST730729SA,PROD566211SA,7
2026-02-13,CUST724042SA,PROD947308SA,9
2026-01-09,CUST656596SA,PROD356778SA,24
2026-02-03,CUST961438SA,PROD121761SA,30
2026-01-10,CUST395489SA,PROD420172SA,24
2026-01-10,CUST974581SA,PROD260247SA,24
2026-01-12,CUST231780SA,PROD923634SA,9
2026-01-11,CUST882885SA,PROD642412SA,7
2026-02-10,CUST391329SA,PROD381913SA,27
2026-01-31,CUST830541SA,PROD562275SA,5
2026-02-08,CUST266817SA,PROD477463SA,4
2026-02-15,CUST252422SA,PROD928463SA,22
2026-02-16,CUST253690SA,PROD201158SA,16
2026-01-31,CUST153557SA,PROD668854SA,25
2026-02-11,CUST411776SA,PROD759359SA,2
2026-02-11,CUST93624SA,PROD905997SA,12
2026-01-31,CUST748255SA,PROD730429SA,16
2026-02-14,CUST250786SA,PROD209267SA,29
2026-02-13,CUST969022SA,PROD772343SA,28
2026-01-14,CUST868170SA,PROD996971SA,6
2026-02-18,CUST881639SA,PROD918938SA,30
2026-01-26,CUST718119SA,PROD169430SA,13
2026-01-11,CUST518927SA,PROD804150SA,19
2026-01-07,CUST407286SA,PROD623939SA,17
2026-02-09,CUST744007SA,PROD970733SA,16
2026-02-16,CUST90400SA,PROD478634SA,2
2026-01-25,CUST438967SA,PROD705511SA,13
2026-02-12,CUST395489SA,PROD608093SA,25
2026-01-09,CUST326775SA,PROD26240SA,4
2026-02-04,CUST147475SA,PROD838722SA,15
2026-01-16,CUST402686SA,PROD575898SA,1
2026-01-01,CUST211383SA,PROD575898SA,7
2026-01-19,CUST713145SA,PROD449660SA,4
2026-01-16,CUST799281SA,PROD419066SA,20
2026-02-12,CUST886593SA,PROD952635SA,6
2026-01-27,CUST628437SA,PROD799550SA,8
2026-01-14,CUST203322SA,PROD699330SA,20
2026-01-17,CUST477309SA,PROD169430SA,6
2026-01-25,CUST804711SA,PROD566211SA,7
2026-01-21,CUST679445SA,PROD26225SA,25
2026-01-19,CUST863355SA,PROD653534SA,28
2026-01-20,CUST221048SA,PROD846721SA,15
2026-01-09,CUST146942SA,PROD703055SA,5
2026-02-17,CUST304466SA,PROD870914SA,22
2026-01-12,CUST160295SA,PROD398382SA,4
2026-02-05,CUST932694SA,PROD356385SA,26
2026-01-12,CUST278095SA,PROD199448SA,14
2026-02-11,CUST877633SA,PROD747581SA,7
2026-01-08,CUST823856SA,PROD88025SA,24
2026-01-08,CUST498733SA,PROD493152SA,26
2026-01-01,CUST278095SA,PROD8491SA,14
2026-01-25,CUST264679SA,PROD356385SA,29
2026-02-11,CUST385709SA,PROD158157SA,17
2026-01-27,CUST229772SA,PROD870914SA,11
2026-02-08,CUST658775SA,PROD971524SA,10
2026-01-13,CUST487648SA,PROD512311SA,28
2026-01-28,CUST329287SA,PROD635770SA,13
2026-01-05,CUST106857SA,PROD478634SA,6
2026-01-03,CUST466732SA,PROD666269SA,27
2026-01-13,CUST149792SA,PROD829090SA,27
2026-01-31,CUST48159SA,PROD30434SA,15
2026-02-06,CUST925321SA,PROD954851SA,9
2026-01-18,CUST409711SA,PROD423389SA,18
2026-01-28,CUST861501SA,PROD753240SA,26
2026-01-13,CUST699891SA,PROD843298SA,1
2026-01-21,CUST273453SA,PROD604201SA,12
2026-02-12,CUST304466SA,PROD897004SA,20
2026-01-10,CUST399407SA,PROD113609SA,19
2026-02-01,CUST918371SA,PROD815573SA,18
2026-01-09,CUST68804SA,PROD30271SA,25
2026-01-14,CUST463516SA,PROD214181SA,11
2026-02-02,CUST477309SA,PROD478634SA,16
2026-02-07,CUST125200SA,PROD739945SA,15
2026-02-13,CUST329287SA,PROD923634SA,13
2026-01-31,CUST840181SA,PROD993620SA,15
2026-01-31,CUST66165SA,PROD287936SA,5
2026-02-12,CUST211727SA,PROD902592SA,21
2026-02-09,CUST531958SA,PROD898348SA,11
2026-01-21,CUST606403SA,PROD52578SA,20
2026-01-29,CUST285166SA,PROD638551SA,28
2026-02-14,CUST517033SA,PROD651051SA,3
2026-01-08,CUST329287SA,PROD897004SA,8
2026-01-16,CUST216092SA,PROD496249SA,21
2026-01-15,CUST583397SA,PROD536265SA,9
2026-01-30,CUST797615SA,PROD860394SA,13
2026-01-14,CUST510866SA,PROD534277SA,15
2026-02-08,CUST394747SA,PROD347235SA,12
2026-02-06,CUST800185SA,PROD439486SA,17
2026-02-17,CUST399407SA,PROD397887SA,14
2026-01-09,CUST242675SA,PROD677278SA,28
2026-01-02,CUST64633SA,PROD337960SA,24
2026-01-12,CUST555178SA,PROD769440SA,9
2026-02-16,CUST886589SA,PROD819182SA,23
2026-02-06,CUST496520SA,PROD899398SA,7
2026-01-09,CUST205721SA,PROD767460SA,4
2026-01-05,CUST975094SA,PROD533590SA,30
2026-02-13,CUST863684SA,PROD551640SA,18
2026-01-03,CUST154887SA,PROD572092SA,25
2026-01-20,CUST384123SA,PROD321517SA,25
2026-02-18,CUST472407SA,PROD810620SA,4
2026-01-13,CUST273453SA,PROD800581SA,5
2026-01-05,CUST266817SA,PROD113668SA,30
2026-02-13,CUST672324SA,PROD66613SA,10
2026-01-12,CUST810065SA,PROD532496SA,24
2026-01-14,CUST205721SA,PROD162316SA,21
2026-01-07,CUST487648SA,PROD490785SA,17
2026-02-11,CUST316528SA,PROD963110SA,1
2026-01-02,CUST46385SA,PROD348588SA,12
2026-02-12,CUST48159SA,PROD156445SA,11
2026-02-12,CUST278095SA,PROD928463SA,15
2026-02-17,CUST97584SA,PROD723846SA,18
2026-02-15,CUST994913SA,PROD618849SA,18
2026-01-22,CUST599743SA,PROD971524SA,23
2026-01-27,CUST782033SA,PROD767460SA,19
2026-01-30,CUST863355SA,PROD932931SA,21
2026-02-06,CUST453633SA,PROD454582SA,29
2026-01-28,CUST764234SA,PROD121552SA,17
2026-02-01,CUST57152SA,PROD897004SA,18
2026-01-16,CUST606007SA,PROD536265SA,12
2026-01-24,CUST467676SA,PROD710219SA,8
2026-02-09,CUST377017SA,PROD970733SA,15
2026-01-16,CUST871728SA,PROD230283SA,14
2026-01-13,CUST526611SA,PROD14338SA,10
2026-01-01,CUST389906SA,PROD952635SA,17
2026-02-09,CUST343848SA,PROD280746SA,28
2026-01-07,CUST616126SA,PROD234053SA,10
2026-01-23,CUST282870SA,PROD912804SA,1
2026-02-03,CUST273453SA,PROD23005SA,16
2026-02-16,CUST762540SA,PROD45767SA,16
2026-01-15,CUST578719SA,PROD641390SA,25
2026-01-22,CUST45814SA,PROD562275SA,10
2026-01-30,CUST435810SA,PROD532496SA,26
2026-01-01,CUST110790SA,PROD463638SA,12
2026-01-10,CUST585066SA,PROD601949SA,29
2026-01-28,CUST144283SA,PROD753240SA,13
2026-01-13,CUST592447SA,PROD668854SA,23
2026-02-06,CUST206647SA,PROD23005SA,13
2026-02-10,CUST268900SA,PROD799550SA,8
2026-01-13,CUST165271SA,PROD349499SA,14
2026-01-31,CUST9585SA,PROD250280SA,17
2026-02-07,CUST492296SA,PROD651517SA,30
2026-01-31,CUST488640SA,PROD704318SA,23
2026-02-03,CUST186266SA,PROD638720SA,10
2026-02-01,CUST304561SA,PROD831450SA,18
2026-02-09,CUST103396SA,PROD763934SA,14
2026-01-10,CUST580096SA,PROD1773SA,3
2026-01-09,CUST368247SA,PROD781177SA,10
2026-01-06,CUST279676SA,PROD138205SA,15
2026-01-31,CUST764234SA,PROD873294SA,9
2026-02-04,CUST45814SA,PROD524902SA,16
2026-01-10,CUST819394SA,PROD408396SA,1
2026-01-08,CUST826596SA,PROD769440SA,18
2026-01-02,CUST686594SA,PROD296578SA,4
2026-01-14,CUST472230SA,PROD121552SA,5
2026-02-05,CUST796788SA,PROD804150SA,24
2026-01-01,CUST558136SA,PROD337960SA,3
2026-01-08,CUST766437SA,PROD958449SA,16
2026-01-11,CUST757065SA,PROD235615SA,14
2026-01-16,CUST976610SA,PROD461865SA,26
2026-01-25,CUST425110SA,PROD714825SA,12
2026-01-23,CUST252674SA,PROD121761SA,26
2026-01-02,CUST450797SA,PROD164136SA,3
2026-02-11,CUST630193SA,PROD952538SA,5
2026-01-03,CUST816808SA,PROD382584SA,25
2026-01-20,CUST797423SA,PROD102664SA,18
2026-01-24,CUST638457SA,PROD278258SA,7
2026-02-13,CUST382746SA,PROD623939SA,9
2026-02-10,CUST681113SA,PROD720892SA,27
2026-01-01,CUST980143SA,PROD224643SA,25
2026-02-05,CUST737852SA,PROD597530SA,13
2026-02-07,CUST962526SA,PROD919035SA,15
2026-01-13,CUST399226SA,PROD700305SA,2
2026-01-10,CUST149289SA,PROD102664SA,24
2026-02-07,CUST742287SA,PROD187241SA,17
2026-02-02,CUST606403SA,PROD227823SA,7
2026-01-24,CUST473866SA,PROD912804SA,22
2026-02-17,CUST391329SA,PROD689606SA,30
2026-01-16,CUST82857SA,PROD92337SA,21
2026-02-05,CUST715894SA,PROD699287SA,24
2026-02-15,CUST902874SA,PROD200845SA,17
2026-01-06,CUST588967SA,PROD612955SA,16
2026-02-01,CUST919809SA,PROD356385SA,7
2026-01-18,CUST558136SA,PROD337960SA,2
2026-02-12,CUST247231SA,PROD645830SA,7
2026-02-17,CUST520306SA,PROD102664SA,8
2026-02-01,CUST146814SA,PROD296578SA,11
2026-01-01,CUST226222SA,PROD551640SA,26
2026-01-14,CUST250786SA,PROD553306SA,4
2026-01-20,CUST8886SA,PROD767460SA,8
2026-01-01,CUST202177SA,PROD604238SA,2
2026-01-29,CUST231780SA,PROD741666SA,23
